Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,220,200.435
3,450,400.87
4,660,601.304
5,890,801.739
6,1100,1002.17
7,1270,1202.61
8,1440,1403.04
9,1670,1603.48
10,1870,1803.91
11,2110,2004.35
12,2260,2204.78
1,2490,2405.22
2,2710,2605.65
3,2900,2806.09
4,3130,3006.52
5,3310,3206.96
6,3500,3407.39
7,3690,3607.83
8,3870,3808.26
9,4020,4008.7
10,4190,4209.13
11,4420,4409.57
12,4610,4610
1,5060,5033.03
2,5300,5225.97
3,5500,5418.92
4,5680,5611.86
5,5880,5804.81
6,6040,5997.75
7,6220,6190.7
8,6370,6383.64
9,6550,6576.58
10,6720,6769.53
11,6950,6962.47
12,7130,7155.42
1,7360,7348.36
2,7610,7541.31
3,7770,7734.25
4,8000,7927.19
5,8180,8120.14
6,8320,8313.08
7,8490,8506.03
8,8650,8698.97
9,8840,8891.92
10,8970,9084.86
11,9240,9277.8
12,9450,9470.75
1,9900,9884.29
2,10090,10073.3
3,10300,10262.2
4,10470,10451.2
5,10700,10640.2
6,10900,10829.2
7,11050,11018.2
8,11200,11207.1
9,11330,11396.1
10,11510,11585.1
11,11730,11774.1
12,11910,11963.1
1,12120,12152
2,12360,12341
3,12550,12530
4,12750,12719
5,12950,12908
6,13140,13096.9
7,13370,13285.9
8,13500,13474.9
9,13630,13663.9
10,13750,13852.9
11,14010,14041.8
12,14220,14230.8
1,14670,14648
2,14840,14835.2
3,15050,15022.5
4,15250,15209.7
5,15450,15397
6,15610,15584.2
7,15750,15771.4
8,15920,15958.7
9,16110,16145.9
10,16270,16333.1
11,16460,16520.4
12,16720,16707.6
1,16890,16894.8
2,17090,17082.1
3,17290,17269.3
4,17510,17456.5
5,17700,17643.8
6,17870,17831
7,18040,18018.3
8,18200,18205.5
9,18340,18392.7
10,18500,18580
11,18760,18767.2
12,18980,18954.4
1,19410,19384.8
2,19570,19571.8
3,19790,19758.8
4,19980,19945.8
5,20180,20132.9
6,20340,20319.9
7,20510,20506.9
8,20660,20693.9
9,20850,20880.9
10,21030,21068
11,21210,21255
12,21450,21442
1,21630,21629
2,21850,21816
3,22040,22003.1
4,22260,22190.1
5,22430,22377.1
6,22610,22564.1
7,22770,22751.1
8,22900,22938.2
9,23090,23125.2
10,23210,23312.2
11,23500,23499.2
12,23690,23686.2
1,24140,24114.6
2,24310,24301.5
3,24530,24488.3
4,24710,24675.2
5,24920,24862
6,25070,25048.9
7,25250,25235.7
8,25350,25422.6
9,25550,25609.5
10,25720,25796.3
11,25940,25983.2
12,26150,26170
1,26350,26356.9
2,26560,26543.8
3,26740,26730.6
4,26970,26917.5
5,27170,27104.3
6,27370,27291.2
7,27540,27478
8,27660,27664.9
9,27810,27851.8
10,27970,28038.6
11,28200,28225.5
12,28410,28412.3
1,28870,28842.4
2,29040,29027.8
3,29260,29213.3
4,29430,29398.8
5,29640,29584.2
6,29770,29769.7
7,29970,29955.2
8,30120,30140.6
9,30290,30326.1
10,30440,30511.6
11,30640,30697
12,30860,30882.5
1,31050,31068
2,31280,31253.4
3,31460,31438.9
4,31670,31624.4
5,31880,31809.8
6,32020,31995.3
7,32220,32180.8
8,32370,32366.2
9,32540,32551.7
10,32660,32737.2
11,32880,32922.6
12,33120,33108.1
1,33550,33545.4
2,33720,33731.9
3,33930,33918.4
4,34130,34104.8
5,34370,34291.3
6,34530,34477.8
7,34660,34664.3
8,34850,34850.7
9,35030,35037.2
10,35190,35223.7
11,35370,35410.2
12,35550,35596.6
1,35770,35783.1
2,35990,35969.6
3,36140,36156
4,36370,36342.5
5,36550,36529
6,36760,36715.5
7,36920,36901.9
8,37080,37088.4
9,37280,37274.9
10,37390,37461.4
11,37650,37647.8
12,37860,37834.3
1,38280,38255.7
2,38430,38441.9
3,38650,38628.2
4,38840,38814.4
5,39030,39000.6
6,39160,39186.9
7,39360,39373.1
8,39540,39559.4
9,39710,39745.6
10,39870,39931.8
11,40060,40118.1
12,40320,40304.3
1,40470,40490.5
2,40670,40676.8
3,40860,40863
4,41080,41049.3
5,41270,41235.5
6,41440,41421.7
7,41630,41608
8,41810,41794.2
9,41950,41980.4
10,42130,42166.7
11,42360,42352.9
12,42580,42539.2
1,43030,42976
2,43160,43161.4
3,43350,43346.8
4,43560,43532.3
5,43780,43717.7
6,43900,43903.1
7,44110,44088.5
8,44270,44274
9,44430,44459.4
10,44610,44644.8
11,44760,44830.3
12,44990,45015.7
1,45170,45201.1
2,45400,45386.5
3,45600,45572
4,45810,45757.4
5,46010,45942.8
6,46160,46128.3
7,46360,46313.7
8,46540,46499.1
9,46650,46684.6
10,46800,46870
11,47030,47055.4
12,47210,47240.8
1,47680,47680.7
2,47870,47865.5
3,48070,48050.2
4,48280,48234.9
5,48470,48419.7
6,48610,48604.4
7,48810,48789.1
8,48960,48973.8
9,49150,49158.6
10,49280,49343.3
11,49480,49528
12,49690,49712.8
1,49880,49897.5
2,50150,50082.2
3,50310,50267
4,50500,50451.7
5,50690,50636.4
6,50830,50821.1
7,51030,51005.9
8,51200,51190.6
9,51350,51375.3
10,51520,51560.1
11,51680,51744.8
12,51920,51929.5
1,52400,52373.8
2,52580,52559.1
3,52780,52744.4
4,53000,52929.7
5,53150,53115
6,53290,53300.3
7,53510,53485.7
8,53630,53671
9,53820,53856.3
