   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  1 2 3 4 5 6 7 8 9 0 E T   =
  20   229  1 2 3 4 5 6 7 8 9 0 E T   =
  21   241  1 2 3 4 5 6 7 8 9 0 E T   =
  22   253  1 2 3 4 5 6 7 8 9 0 E T   =
  23   265  1 2 3 4 5 6 7 8 9 0 E T   =
  24   277  1 2 3 4 5 6 7 8 9 0 E T   =
  25   289  1 2 3 4 5 6 7 8 9 0 E T   =
  26   301  1 2 3 4 5 6 7 8 9 0 E T   =
  27   313  1 2 3 4 5 6 7 8 9 0 E T   =
  28   325  1 2 3 4 5 6 7 8 9 0 E T   =
  29   337  1 2 3 4 5 6 7 8 9 0 E T   =
  30   349  1 2 3 4 5 6 7 8 9 0 E T   =
  31   361  2 1 3 5 4 7 6 9 8 E 0 T   3
  32   373  2 3 1 4 5 6 7 8 9 0 E T   1
  33   385  3 2 4 1 6 5 8 7 9 E 0 T   9
  34   397  2 3 4 6 1 8 5 9 7 0 E T   3
  35   409  2 4 3 1 6 5 8 7 9 E 0 T   1
  36   421  4 2 3 6 1 8 5 9 7 0 E T   3
  37   433  4 3 2 1 6 5 8 7 9 E 0 T   1
  38   445  3 4 2 6 1 8 5 9 7 0 E T   3
  39   457  4 3 6 2 8 1 9 5 0 7 E T   E
  40   469  4 6 3 8 2 9 1 0 5 E 7 T   1
  41   481  6 4 3 2 8 1 9 5 0 7 E T   3
  42   493  6 3 4 8 2 9 1 0 5 E 7 T   1
  43   505  3 6 4 2 8 1 9 5 0 7 E T   3
  44   517  3 4 6 8 2 9 1 0 5 E 7 T   1
  45   529  4 3 8 6 9 2 0 1 E 5 7 T   E
  46   541  3 4 8 9 6 0 2 E 1 7 5 T   3
  47   553  3 8 4 6 9 2 0 1 E 5 7 T   1
  48   565  8 3 4 9 6 0 2 E 1 7 5 T   3
  49   577  8 4 3 6 9 2 0 1 E 5 7 T   1
  50   589  4 8 3 9 6 0 2 E 1 7 5 T   3
  51   601  8 4 9 3 0 6 E 2 1 5 7 T   9
  52   613  8 9 4 0 3 E 6 1 2 7 5 T   1
  53   625  9 8 4 3 0 6 E 2 1 5 7 T   3
  54   637  9 4 8 0 3 E 6 1 2 7 5 T   1
  55   649  4 9 8 3 0 6 E 2 1 5 7 T   3
  56   661  4 8 9 0 3 E 6 1 2 7 5 T   1
  57   673  8 4 0 9 E 3 1 6 7 2 5 T   E
  58   685  4 8 0 E 9 1 3 7 6 5 2 T   3
  59   697  4 0 8 9 E 3 1 6 7 2 5 T   1
  60   709  0 4 8 E 9 1 3 7 6 5 2 T   3
  61   721  0 8 4 9 E 3 1 6 7 2 5 T   1
  62   733  8 0 4 E 9 1 3 7 6 5 2 T   3
  63   745  0 8 E 4 1 9 7 3 5 6 2 T   E
  64   757  0 E 8 1 4 7 9 5 3 2 6 T   1
  65   769  E 0 8 4 1 9 7 3 5 6 2 T   3
  66   781  E 8 0 1 4 7 9 5 3 2 6 T   1
  67   793  8 E 0 4 1 9 7 3 5 6 2 T   3
  68   805  8 0 E 1 4 7 9 5 3 2 6 T   1
  69   817  0 8 1 E 7 4 5 9 3 2 6 T   90E
  70   829  8 0 1 7 E 5 4 3 9 6 2 T   3
  71   841  8 1 0 E 7 4 5 9 3 2 6 T   1
  72   853  1 8 0 7 E 5 4 3 9 6 2 T   3
  73   865  1 0 8 E 7 4 5 9 3 2 6 T   1
  74   877  0 1 8 7 E 5 4 3 9 6 2 T   3
  75   889  1 0 7 8 5 E 3 4 9 2 6 T   9
  76   901  1 7 0 5 8 3 E 9 4 6 2 T   1
  77   913  7 1 0 8 5 E 3 4 9 2 6 T   3
  78   925  7 0 1 5 8 3 E 9 4 6 2 T   1
  79   937  0 7 1 8 5 E 3 4 9 2 6 T   3
  80   949  0 1 7 5 8 3 E 9 4 6 2 T   1
  81   961  1 0 5 7 3 8 9 E 4 2 6 T   9
  82   973  0 1 5 3 7 9 8 4 E 6 2 T   3
  83   985  0 5 1 7 3 8 9 E 4 2 6 T   1
  84   997  5 0 1 3 7 9 8 4 E 6 2 T   3
  85  1009  5 1 0 7 3 8 9 E 4 2 6 T   1
  86  1021  1 5 0 3 7 9 8 4 E 6 2 T   3
  87  1033  5 1 3 0 9 7 4 8 E 2 6 T   9
  88  1045  5 3 1 9 0 4 7 E 8 6 2 T   1
  89  1057  3 5 1 0 9 7 4 8 E 2 6 T   3
  90  1069  3 1 5 9 0 4 7 E 8 6 2 T   1
  91  1081  1 3 5 0 9 7 4 8 E 2 6 T   3
  92  1093  1 5 3 9 0 4 7 E 8 6 2 T   1
  93  1105  5 1 9 3 4 0 E 7 6 8 2 T   E
  94  1117  1 5 9 4 3 E 0 6 7 2 8 T   3
  95  1129  1 9 5 3 4 0 E 7 6 8 2 T   1
  96  1141  9 1 5 4 3 E 0 6 7 2 8 T   3
  97  1153  9 5 1 3 4 0 E 7 6 8 2 T   1
  98  1165  5 9 1 4 3 E 0 6 7 2 8 T   3
  99  1177  9 5 4 1 E 3 6 0 7 8 2 T   9
 100  1189  9 4 5 E 1 6 3 7 0 2 8 T   1
 101  1201  4 9 5 1 E 3 6 0 7 8 2 T   3
 102  1213  4 5 9 E 1 6 3 7 0 2 8 T   1
 103  1225  5 4 9 1 E 3 6 0 7 8 2 T   3
 104  1237  5 9 4 E 1 6 3 7 0 2 8 T   1
 105  1249  9 5 E 4 6 1 7 3 0 8 2 T   9
 106  1261  5 9 E 6 4 7 1 0 3 2 8 T   3
 107  1273  5 E 9 4 6 1 7 3 0 8 2 T   1
