Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,210,210.435
3,480,420.87
4,670,631.304
5,860,841.739
6,1120,1052.17
7,1310,1262.61
8,1460,1473.04
9,1660,1683.48
10,1860,1893.91
11,2100,2104.35
12,2250,2314.78
1,2540,2525.22
2,2770,2735.65
3,3000,2946.09
4,3220,3156.52
5,3370,3366.96
6,3630,3577.39
7,3790,3787.83
8,3940,3998.26
9,4160,4208.7
10,4410,4419.13
11,4560,4629.57
12,4840,4840
1,5300,5258.99
2,5490,5461.64
3,5720,5664.29
4,5900,5866.94
5,6080,6069.59
6,6310,6272.24
7,6450,6474.9
8,6660,6677.55
9,6870,6880.2
10,7040,7082.85
11,7270,7285.5
12,7470,7488.15
1,7710,7690.8
2,7940,7893.45
3,8150,8096.1
4,8350,8298.75
5,8510,8501.4
6,8710,8704.06
7,8890,8906.71
8,9080,9109.36
9,9280,9312.01
10,9470,9514.66
11,9630,9717.31
12,9930,9919.96
1,10370,10345.8
2,10560,10545
3,10820,10744.2
4,10990,10943.4
5,11120,11142.5
6,11370,11341.7
7,11510,11540.9
8,11730,11740
9,11920,11939.2
10,12060,12138.4
11,12270,12337.6
12,12510,12536.7
1,12750,12735.9
2,12970,12935.1
3,13220,13134.2
4,13400,13333.4
5,13570,13532.6
6,13740,13731.7
7,13920,13930.9
8,14080,14130.1
9,14290,14329.3
10,14500,14528.4
11,14680,14727.6
12,14960,14926.8
1,15390,15369
2,15570,15567.9
3,15830,15766.9
4,16010,15965.9
5,16190,16164.9
6,16380,16363.8
7,16550,16562.8
8,16720,16761.8
9,16950,16960.7
10,17130,17159.7
11,17350,17358.7
12,17540,17557.7
1,17770,17756.6
2,17980,17955.6
3,18220,18154.6
4,18390,18353.6
5,18560,18552.5
6,18740,18751.5
7,18940,18950.5
8,19130,19149.5
9,19320,19348.4
10,19530,19547.4
11,19710,19746.4
12,19980,19945.4
1,20400,20383
2,20610,20581.3
3,20870,20779.6
4,21000,20977.9
5,21160,21176.2
6,21360,21374.6
7,21540,21572.9
8,21740,21771.2
9,21960,21969.5
10,22120,22167.8
11,22330,22366.1
12,22540,22564.5
1,22790,22762.8
2,22990,22961.1
3,23240,23159.4
4,23390,23357.7
5,23570,23556.1
6,23750,23754.4
7,23930,23952.7
8,24120,24151
9,24320,24349.3
10,24560,24547.6
11,24710,24746
12,24980,24944.3
1,25400,25387.7
2,25610,25585.4
3,25860,25783.1
4,26010,25980.8
5,26210,26178.5
6,26390,26376.2
7,26550,26573.9
8,26760,26771.6
9,26940,26969.3
10,27110,27167
11,27310,27364.7
12,27560,27562.4
1,27760,27760.1
2,27970,27957.8
3,28220,28155.5
4,28390,28353.2
5,28580,28550.9
6,28730,28748.6
7,28930,28946.3
8,29130,29144
9,29320,29341.7
10,29520,29539.4
11,29710,29737.1
12,29980,29934.8
1,30350,30374.2
2,30560,30573.1
3,30830,30772.1
4,30990,30971
5,31190,31169.9
6,31380,31368.9
7,31540,31567.8
8,31740,31766.7
9,31930,31965.7
10,32150,32164.6
11,32360,32363.6
12,32550,32562.5
1,32750,32761.4
2,32960,32960.4
3,33230,33159.3
4,33390,33358.2
5,33570,33557.2
6,33730,33756.1
7,33920,33955.1
8,34160,34154
9,34340,34352.9
10,34560,34551.9
11,34720,34750.8
12,35000,34949.7
1,35400,35392.7
2,35610,35592
3,35870,35791.2
4,36030,35990.4
5,36190,36189.6
6,36370,36388.9
7,36560,36588.1
8,36740,36787.3
9,36940,36986.5
10,37170,37185.8
11,37340,37385
12,37610,37584.2
1,37780,37783.4
2,38010,37982.7
3,38250,38181.9
4,38400,38381.1
5,38590,38580.4
6,38760,38779.6
7,38980,38978.8
8,39160,39178
9,39380,39377.3
10,39580,39576.5
11,39720,39775.7
12,40020,39974.9
1,40420,40420.3
2,40630,40619.4
3,40890,40818.4
4,41050,41017.4
5,41220,41216.5
6,41430,41415.5
7,41600,41614.5
8,41780,41813.6
9,41980,42012.6
10,42180,42211.6
11,42360,42410.6
12,42610,42609.7
1,42810,42808.7
2,43070,43007.7
3,43290,43206.8
4,43420,43405.8
5,43590,43604.8
6,43780,43803.9
7,44000,44002.9
8,44210,44201.9
9,44400,44401
10,44570,44600
11,44750,44799
12,45040,44998
1,45450,45444.8
2,45690,45643.3
3,45940,45841.8
4,46080,46040.2
5,46220,46238.7
6,46430,46437.1
7,46590,46635.6
8,46810,46834.1
9,47010,47032.5
10,47180,47231
11,47380,47429.4
12,47610,47627.9
1,47810,47826.4
2,48060,48024.8
3,48300,48223.3
4,48450,48421.8
5,48640,48620.2
6,48820,48818.7
7,49020,49017.1
8,49210,49215.6
9,49390,49414.1
10,49620,49612.5
11,49770,49811
12,50030,50009.4
1,50440,50453
2,50660,50651.4
3,50930,50849.9
4,51070,51048.3
5,51240,51246.8
6,51430,51445.3
7,51620,51643.7
8,51830,51842.2
9,52010,52040.6
10,52200,52239.1
11,52410,52437.6
12,52620,52636
1,52840,52834.5
2,53050,53032.9
3,53290,53231.4
4,53440,53429.9
5,53650,53628.3
6,53820,53826.8
7,54030,54025.2
8,54230,54223.7
9,54400,54422.2
10,54620,54620.6
11,54780,54819.1
12,55050,55017.5
1,55400,55455.9
2,55640,55653.6
3,55920,55851.4
4,56070,56049.1
5,56250,56246.9
6,56450,56444.6
7,56630,56642.4
8,56820,56840.1
9,57010,57037.9
10,57210,57235.6
11,57390,57433.4
12,57640,57631.1
1,57830,57828.9
2,58060,58026.6
3,58290,58224.4
4,58450,58422.1
5,58630,58619.9
6,58810,58817.6
7,59020,59015.4
8,59210,59213.1
9,59410,59410.9
10,59560,59608.6
11,59750,59806.4
12,60050,60004.1
1,60430,60450.4
2,60680,60648.5
3,60930,60846.6
4,61050,61044.7
5,61240,61242.7
6,61440,61440.8
7,61620,61638.9
8,61810,61837
9,62030,62035
10,62180,62233.1
11,62370,62431.2
12,62630,62629.3
1,62820,62827.3
2,63060,63025.4
3,63300,63223.5
4,63430,63421.6
5,63610,63619.6
6,63820,63817.7
7,64020,64015.8
8,64240,64213.9
9,64410,64411.9
10,64590,64610
11,64770,64808.1
12,65030,65006.2
1,65400,65450.9
2,65690,65650.1
3,65920,65849.3
4,66070,66048.5
5,66250,66247.7
6,66430,66447
7,66620,66646.2
8,66830,66845.4
9,67000,67044.6
10,67180,67243.8
11,67400,67443.1
12,67630,67642.3
1,67840,67841.5
2,68090,68040.7
3,68320,68239.9
4,68460,68439.2
5,68650,68638.4
6,68840,68837.6
7,69040,69036.8
8,69230,69236
9,69430,69435.2
10,69630,69634.5
11,69820,69833.7
12,70040,70032.9
2,70530,70493
1,70720,70692.6
4,70930,70892.3
3,71140,71092
6,71290,71291.7
5,71490,71491.4
8,71710,71691.1
7,71880,71890.8
10,72100,72090.5
9,72290,72290.2
12,72450,72489.9
11,72650,72689.6
1,72860,72889.3
2,73110,73088.9
4,73310,73288.6
6,73480,73488.3
3,73720,73688
8,73920,73887.7
5,74110,74087.4
10,74290,74287.1
7,74470,74486.8
12,74680,74686.5
9,74850,74886.2
11,75090,75085.9
2,75510,75519.8
1,75750,75717.5
6,75860,75915.2
4,76100,76112.9
8,76310,76310.6
3,76530,76508.3
10,76720,76706
5,76880,76903.7
12,77100,77101.4
7,77250,77299.1
11,77490,77496.8
9,77670,77694.5
2,77890,77892.2
6,78070,78089.9
1,78340,78287.6
4,78540,78485.3
3,78710,78683
8,78880,78880.7
5,79060,79078.4
10,79250,79276.1
7,79450,79473.8
12,79670,79671.5
9,79860,79869.2
11,80080,80066.9
6,80470,80506.7
2,80700,80704.7
4,80940,80902.7
1,81140,81100.6
8,81310,81298.6
3,81540,81496.5
10,81660,81694.5
5,81840,81892.4
12,82050,82090.4
7,82190,82288.3
11,82450,82486.3
9,82660,82684.2
6,82860,82882.2
2,83120,83080.1
1,83330,83278.1
4,83560,83476.1
8,83660,83674
10,83910,83872
3,84110,84069.9
12,84290,84267.9
5,84470,84465.8
11,84620,84663.8
7,84800,84861.7
9,85080,85059.7
2,85430,85497.6
6,85660,85696.4
4,85920,85895.1
1,86070,86093.9
10,86290,86292.6
8,86500,86491.3
12,86710,86690.1
3,86920,86888.8
11,87080,87087.6
5,87280,87286.3
9,87470,87485.1
7,87700,87683.8
6,87890,87882.6
2,88100,88081.3
4,88280,88280.1
10,88460,88478.8
1,88660,88677.5
8,88890,88876.3
3,89100,89075
12,89290,89273.8
5,89480,89472.5
11,89650,89671.3
7,89850,89870
9,90070,90068.8
2,90530,90501
6,90720,90699.3
10,90890,90897.6
4,91020,91095.9
8,91270,91294.2
1,91470,91492.5
12,91720,91690.8
3,91930,91889.1
11,92080,92087.3
5,92260,92285.6
9,92460,92483.9
7,92620,92682.2
2,92890,92880.5
10,93070,93078.8
6,93280,93277.1
4,93490,93475.4
1,93710,93673.7
8,93850,93872
12,94090,94070.3
11,94250,94268.6
3,94500,94466.9
9,94660,94665.2
5,94850,94863.4
7,95080,95061.7
10,95510,95501.2
2,95730,95699.6
4,95880,95897.9
6,96110,96096.3
8,96280,96294.7
1,96520,96493.1
11,96640,96691.5
12,96900,96889.9
9,97070,97088.2
3,97300,97286.6
7,97410,97485
5,97650,97683.4
2,97920,97881.8
10,98100,98080.2
6,98290,98278.5
4,98500,98476.9
8,98690,98675.3
11,98870,98873.7
1,99090,99072.1
12,99290,99270.5
3,99470,99468.8
9,99660,99667.2
5,99850,99865.6
7,100050,100064
10,100550,100513
2,100720,100712
4,100930,100911
6,101110,101110
11,101320,101309
8,101510,101508
12,101700,101706
1,101910,101905
9,102120,102104
3,102340,102303
7,102470,102502
5,102680,102701
10,102860,102900
4,103100,103099
2,103310,103297
11,103490,103496
6,103690,103695
8,103920,103894
1,104130,104093
12,104250,104292
9,104460,104491
7,104690,104689
3,104910,104888
5,105100,105087
4,105500,105512
10,105660,105711
11,105880,105910
2,106140,106108
8,106300,106307
6,106560,106505
12,106710,106704
1,106870,106902
7,107070,107101
9,107290,107299
5,107450,107498
3,107700,107696
10,107850,107895
4,108060,108093
2,108280,108292
11,108450,108491
6,108740,108689
8,108910,108888
12,109110,109086
7,109270,109285
1,109510,109483
9,109680,109682
3,109900,109880
5,110090,110079
4,110510,110514
10,110700,110714
11,110910,110913
2,111100,111112
8,111290,111311
6,111520,111511
7,111710,111710
12,111900,111909
9,112100,112109
1,112350,112308
5,112510,112507
3,112740,112706
4,112900,112906
11,113100,113105
10,113280,113304
8,113520,113503
2,113670,113703
7,113860,113902
6,114090,114101
12,114320,114301
1,114530,114500
9,114690,114699
3,114890,114898
5,115130,115098
11,115490,115517
4,115700,115715
8,115890,115914
10,116090,116112
7,116240,116311
2,116470,116510
12,116740,116708
6,116910,116907
9,117120,117105
1,117330,117304
5,117510,117503
3,117740,117701
4,117920,117900
11,118060,118098
10,118290,118297
8,118510,118496
