   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  2 1 4 3 6 5 8 7 0 9 T E   -
  18   205  1 2 3 4 6 8 5 0 7 T 9 E   5
  19   217  2 1 4 3 8 6 0 5 T 7 E 9   -
  20   229  2 4 1 3 6 8 5 0 7 T 9 E   14
  21   241  4 2 3 1 6 5 8 7 0 9 T E   5
  22   253  2 4 1 3 5 6 7 8 9 0 E T   -
  23   265  4 2 3 1 5 7 6 9 8 E 0 T   5
  24   277  2 4 3 5 1 7 9 6 E 8 T 0   36
  25   289  2 3 4 5 7 1 6 9 8 E 0 T   14
  26   301  3 2 5 4 1 7 9 6 E 8 T 0   -
  27   313  2 3 4 5 7 1 9 E 6 T 8 0   7
  28   325  3 2 5 4 7 9 1 E T 6 0 8   58
  29   337  3 5 2 7 4 9 E 1 6 T 8 0   16
  30   349  5 3 7 2 9 4 1 E T 6 0 8   -
  31   361  3 5 2 7 4 9 E 1 T 0 6 8   9
  32   373  5 3 7 2 9 4 E T 1 0 8 6   70
  33   385  5 7 3 9 2 E 4 T 0 1 6 8   18
  34   397  7 5 9 3 E 2 T 4 1 0 8 6   -
  35   409  7 9 5 E 3 T 2 4 0 1 6 8   18
  36   421  9 7 E 5 T 3 4 2 0 6 1 8   9
  37   433  7 9 5 E 3 T 2 4 6 0 8 1   -
  38   445  7 5 9 3 E 2 T 4 0 6 1 8   18
  39   457  5 7 3 9 2 E 4 T 6 0 8 1   -
  40   469  5 3 7 2 9 4 E 6 T 8 0 1   1
  41   481  3 5 2 7 4 9 6 E 8 T 1 0   -
  42   493  3 2 5 4 7 6 9 E T 8 0 1   18
  43   505  2 3 4 5 6 7 E 9 8 T 1 0   -
  44   517  3 2 5 4 7 6 9 E 8 1 T 0   9
  45   529  3 5 2 7 4 9 6 E 1 8 0 T   18
  46   541  5 3 7 2 9 4 E 6 8 1 T 0   -
  47   553  5 7 3 9 2 E 4 6 1 8 0 T   18
  48   565  7 5 9 3 E 2 4 1 6 8 T 0   70
  49   577  5 7 3 9 2 E 1 4 6 T 8 0   9
  50   589  7 5 9 3 E 2 4 1 T 6 0 8   -
  51   601  7 9 5 E 3 2 1 4 6 T 8 0   16
  52   613  9 7 E 5 3 1 2 T 4 6 0 8   ?
  53   625  7 9 5 E 1 3 2 T 4 0 6 8   789
  54   637  9 7 E 5 3 1 T 2 0 4 8 6   -
  55   649  9 E 7 5 1 3 2 T 4 0 6 8   14
  56   661  E 9 7 1 5 3 T 2 0 4 8 6   36
  57   673  9 E 1 7 5 T 3 0 2 8 4 6   5
  58   685  E 9 7 1 T 5 0 3 8 2 6 4   -
  59   697  9 E 1 7 T 0 5 8 3 6 2 4   5
  60   709  9 1 E 7 0 T 8 5 6 3 4 2   14
  61   721  1 9 7 E T 0 5 8 3 6 2 4   -
  62   733  9 1 E 7 T 5 0 3 8 2 6 4   5
  63   745  1 9 7 E 5 T 3 0 2 8 4 6   -
  64   757  1 7 9 5 E 3 T 2 0 4 8 6   1
  65   769  7 1 5 9 3 E 2 T 4 0 6 8   -
  66   781  1 7 9 5 3 2 E 4 T 6 0 8   5
  67   793  7 1 5 9 2 3 4 E 6 T 8 0   -
  68   805  7 5 1 9 3 2 E 4 T 6 0 8   14
  69   817  5 7 9 1 3 E 2 T 4 0 6 8   5
  70   829  7 5 1 9 E 3 T 2 0 4 8 6   -
  71   841  5 7 9 1 E T 3 0 2 8 4 6   5
  72   853  7 5 9 E 1 T 0 3 8 2 6 4   36
  73   865  7 9 5 E T 1 3 0 2 8 4 6   14
  74   877  9 7 E 5 1 T 0 3 8 2 6 4   -
  75   889  7 9 5 E T 1 0 8 3 6 2 4   7
  76   901  9 7 E 5 T 0 1 8 6 3 4 2   58
  77   913  9 E 7 T 5 0 8 1 3 6 2 4   16
  78   925  E 9 T 7 0 5 1 8 6 3 4 2   -
  79   937  9 E 7 T 5 0 8 1 6 4 3 2   9
  80   949  E 9 T 7 0 5 8 6 1 4 2 3   70
  81   961  E T 9 0 7 8 5 6 4 1 3 2   18
  82   973  T E 0 9 8 7 6 5 1 4 2 3   -
  83   985  T 0 E 8 9 6 7 5 4 1 3 2   18
  84   997  0 T 8 E 6 9 5 7 4 3 1 2   9
  85  1009  T 0 E 8 9 6 7 5 3 4 2 1   -
  86  1021  T E 0 9 8 7 6 5 4 3 1 2   18
  87  1033  E T 9 0 7 8 5 6 3 4 2 1   -
  88  1045  E 9 T 7 0 5 8 3 6 2 4 1   1
  89  1057  9 E 7 T 5 0 3 8 2 6 1 4   -
  90  1069  9 7 E 5 T 3 0 8 6 2 4 1   18
  91  1081  7 9 5 E 3 T 8 0 2 6 1 4   -
  92  1093  9 7 E 5 T 3 0 8 2 1 6 4   9
  93  1105  9 E 7 T 5 0 3 8 1 2 4 6   18
  94  1117  E 9 T 7 0 5 8 3 2 1 6 4   -
  95  1129  E T 9 0 7 8 5 3 1 2 4 6   18
  96  1141  T E 0 9 8 7 5 1 3 2 6 4   70
  97  1153  E T 9 0 7 8 1 5 3 6 2 4   9
  98  1165  T E 0 9 8 7 5 1 6 3 4 2   -
  99  1177  T 0 E 8 9 7 1 5 3 6 2 4   16
 100  1189  0 T 8 E 9 1 7 5 6 3 4 2   58
 101  1201  T 0 E 8 1 9 7 6 5 4 3 2   7
 102  1213  0 T 8 E 9 1 6 7 4 5 2 3   -
 103  1225  0 8 T E 1 9 7 6 5 4 3 2   14
 104  1237  8 0 T 1 E 9 6 7 4 5 2 3   36
 105  1249  0 8 1 T E 6 9 4 7 2 5 3   5
 106  1261  8 0 T 1 6 E 4 9 2 7 3 5   -
 107  1273  0 8 1 T 6 4 E 2 9 3 7 5   5
