   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  1 2 3 4 5 6 7 8 9 0 E T   =
  20   229  1 2 3 4 5 6 7 8 9 0 E T   =
  21   241  2 1 4 3 6 5 8 7 0 9 T E   -
  22   253  2 4 1 6 3 8 5 0 7 T 9 E   1
  23   265  4 2 6 1 8 3 0 5 T 7 E 9   -
  24   277  4 6 2 1 3 8 5 0 7 T 9 E   14
  25   289  6 4 1 2 8 3 0 5 T 7 E 9   -
  26   301  6 1 4 8 2 0 3 T 5 E 7 9   1
  27   313  1 6 8 4 0 2 T 3 E 5 9 7   -
  28   325  1 8 6 0 4 T 2 E 3 9 5 7   1
  29   337  8 1 0 6 T 4 E 2 9 3 7 5   -
  30   349  1 8 0 T 6 E 4 9 2 7 3 5   3
  31   361  8 1 T 0 E 6 9 4 7 2 5 3   -
  32   373  8 T 1 0 6 E 4 9 2 7 3 5   14
  33   385  T 8 0 1 E 6 9 4 7 2 5 3   -
  34   397  T 8 1 0 E 9 6 7 4 5 2 3   125
  35   409  8 T 0 1 9 E 7 6 5 4 3 2   -
  36   421  T 8 0 9 1 E 6 7 4 5 2 3   36
  37   433  8 T 9 0 E 1 7 6 5 4 3 2   -
  38   445  8 9 T 0 1 E 7 5 6 3 4 2   147
  39   457  9 8 0 T E 1 5 7 3 6 2 4   -
  40   469  8 9 T 0 E 5 1 7 6 3 4 2   58
  41   481  9 8 0 T 5 E 7 1 3 6 2 4   -
  42   493  9 0 8 5 T E 1 7 3 2 6 4   169
  43   505  0 9 5 8 E T 7 1 2 3 4 6   -
  44   517  9 0 8 5 T E 7 2 1 3 6 4   70
  45   529  0 9 5 8 E T 2 7 3 1 4 6   -
  46   541  0 5 9 E 8 2 T 7 1 3 6 4   18
  47   553  5 0 E 9 2 8 7 T 3 1 4 6   -
  48   565  0 5 9 E 8 2 T 7 3 4 1 6   9
  49   577  5 0 E 9 2 8 7 T 4 3 6 1   -
  50   589  5 E 0 2 9 7 8 4 T 3 1 6   10
  51   601  E 5 2 0 7 9 4 8 3 T 6 1   -
  52   613  5 E 0 2 9 7 8 4 T 3 6 1   E
  53   625  E 5 2 0 7 9 4 8 3 T 1 6   -
  54   637  E 2 5 7 0 4 9 3 8 T 6 1   10
  55   649  2 E 7 5 4 0 3 9 T 8 1 6   -
  56   661  E 2 5 7 0 4 9 3 T 1 8 6   9
  57   673  2 E 7 5 4 0 3 9 1 T 6 8   -
  58   685  2 7 E 4 5 3 0 9 T 1 8 6   18
  59   697  7 2 4 E 3 5 9 0 1 T 6 8   -
  60   709  2 7 E 4 5 3 9 1 0 T 8 6   70
  61   721  7 2 4 E 3 5 1 9 T 0 6 8   -
  62   733  7 4 2 3 E 5 9 1 T 6 0 8   169
  63   745  4 7 3 2 5 E 1 9 6 T 8 0   -
  64   757  7 4 2 3 5 1 E 9 T 6 0 8   58
  65   769  4 7 3 2 1 5 9 E 6 T 8 0   -
  66   781  4 3 7 2 5 1 9 6 E 8 T 0   147
  67   793  3 4 2 7 1 5 6 9 8 E 0 T   -
  68   805  4 3 2 1 7 5 9 6 E 8 T 0   36
  69   817  3 4 1 2 5 7 6 9 8 E 0 T   -
  70   829  3 4 2 1 5 6 7 8 9 0 E T   125
  71   841  4 3 1 2 6 5 8 7 0 9 T E   -
  72   853  4 1 3 2 5 6 7 8 9 0 E T   14
  73   865  1 4 2 3 6 5 8 7 0 9 T E   -
  74   877  4 1 2 6 3 8 5 0 7 T 9 E   3
  75   889  1 4 6 2 8 3 0 5 T 7 E 9   -
  76   901  1 4 2 6 3 8 5 0 7 T 9 E   12
  77   913  4 1 6 2 8 3 0 5 T 7 E 9   -
  78   925  1 4 6 8 2 0 3 T 5 E 7 9   3
  79   937  4 1 8 6 0 2 T 3 E 5 9 7   -
  80   949  4 8 1 6 2 0 3 T 5 E 7 9   14
  81   961  8 4 6 1 0 2 T 3 E 5 9 7   -
  82   973  8 4 1 6 0 T 2 E 3 9 5 7   125
  83   985  4 8 6 1 T 0 E 2 9 3 7 5   -
  84   997  8 4 6 T 1 0 2 E 3 9 5 7   36
  85  1009  4 8 T 6 0 1 E 2 9 3 7 5   -
  86  1021  4 T 8 6 1 0 E 9 2 7 3 5   147
  87  1033  T 4 6 8 0 1 9 E 7 2 5 3   -
  88  1045  4 T 8 6 0 9 1 E 2 7 3 5   58
  89  1057  T 4 6 8 9 0 E 1 7 2 5 3   -
  90  1069  T 6 4 9 8 0 1 E 7 5 2 3   169
  91  1081  6 T 9 4 0 8 E 1 5 7 3 2   -
  92  1093  T 6 4 9 8 0 E 5 1 7 2 3   70
  93  1105  6 T 9 4 0 8 5 E 7 1 3 2   -
  94  1117  6 9 T 0 4 5 8 E 1 7 2 3   18
  95  1129  9 6 0 T 5 4 E 8 7 1 3 2   -
  96  1141  6 9 T 0 4 5 8 E 7 3 1 2   9
  97  1153  9 6 0 T 5 4 E 8 3 7 2 1   -
  98  1165  9 0 6 5 T E 4 3 8 7 1 2   10
  99  1177  0 9 5 6 E T 3 4 7 8 2 1   -
 100  1189  9 0 6 5 T E 4 3 8 7 2 1   E
 101  1201  0 9 5 6 E T 3 4 7 8 1 2   -
 102  1213  0 5 9 E 6 3 T 7 4 8 2 1   10
 103  1225  5 0 E 9 3 6 7 T 8 4 1 2   -
 104  1237  0 5 9 E 6 3 T 7 8 1 4 2   9
 105  1249  5 0 E 9 3 6 7 T 1 8 2 4   -
 106  1261  5 E 0 3 9 7 6 T 8 1 4 2   18
 107  1273  E 5 3 0 7 9 T 6 1 8 2 4   -
