   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  1 2 3 4 5 6 7 8 9 0 E T   =
  20   229  1 2 3 4 5 6 7 8 9 0 E T   =
  21   241  1 2 3 4 5 6 7 8 9 0 E T   =
  22   253  1 2 3 4 5 6 7 8 9 0 E T   =
  23   265  2 1 4 3 6 5 8 7 0 9 T E   -
  24   277  1 2 3 4 6 8 5 0 7 T 9 E   5
  25   289  2 1 4 3 8 6 0 5 T 7 E 9   -
  26   301  4 2 1 3 6 8 5 0 7 T 9 E   ?
  27   313  4 2 3 1 6 5 8 7 0 9 T E   125
  28   325  2 4 1 3 5 6 7 8 9 0 E T   -
  29   337  2 4 3 1 6 5 8 7 0 9 T E   12
  30   349  4 2 3 6 1 8 5 0 7 T 9 E   3
  31   361  4 3 2 6 8 1 0 5 T 7 E 9   14
  32   373  3 4 6 2 1 8 5 0 7 T 9 E   -
  33   385  3 4 2 6 8 1 0 5 T 7 E 9   12
  34   397  4 3 6 2 8 0 1 T 5 E 7 9   5
  35   409  4 6 3 8 2 0 T 1 E 5 9 7   16
  36   421  6 4 8 3 0 2 1 T 5 E 7 9   -
  37   433  6 8 4 0 3 2 T 1 E 5 9 7   16
  38   445  8 6 0 4 2 3 T E 1 9 5 7   7
  39   457  6 8 4 0 2 T 3 E 9 1 7 5   58
  40   469  8 6 0 4 T 2 E 3 1 9 5 7   -
  41   481  8 0 6 T 4 E 2 3 9 1 7 5   18
  42   493  0 8 T 6 E 4 3 2 9 7 1 5   9
  43   505  8 0 6 T 4 E 2 3 7 9 5 1   -
  44   517  8 6 0 4 T 2 E 3 9 7 1 5   18
  45   529  6 8 4 0 2 T 3 E 7 9 5 1   -
  46   541  8 6 0 4 T 2 E 3 7 5 9 1   9
  47   553  6 8 4 0 2 T 3 E 5 7 1 9   -
  48   565  6 4 8 2 0 3 T E 7 5 9 1   18
  49   577  4 6 2 8 3 0 E T 5 7 1 9   -
  50   589  6 4 8 2 0 3 T E 5 1 7 9   9
  51   601  6 8 4 0 2 T 3 E 1 5 9 7   18
  52   613  8 6 0 4 T 2 E 3 5 1 7 9   -
  53   625  6 8 4 0 T E 2 3 1 5 9 7   58
  54   637  8 6 0 4 E T 2 1 3 9 5 7   7
  55   649  8 0 6 E 4 T 1 2 9 3 7 5   16
  56   661  0 8 E 6 T 4 2 1 3 9 5 7   -
  57   673  0 E 8 T 6 4 1 2 9 3 7 5   16
  58   685  E 0 T 8 6 1 4 9 2 7 3 5   5
  59   697  E 0 8 T 1 6 9 4 7 2 5 3   12
  60   709  0 E T 8 6 1 9 4 2 7 3 5   78
  61   721  0 T E 8 1 6 4 9 7 2 5 3   14
  62   733  T 0 E 1 8 9 4 6 7 5 2 3   ?
  63   745  T 0 1 E 9 8 7 6 5 4 3 2   ?
  64   757  0 T E 1 8 9 6 7 4 5 2 3   -
  65   769  T 0 1 E 8 6 9 4 7 2 5 3   5
  66   781  T 1 0 E 6 8 4 9 2 7 3 5   14
  67   793  1 T E 0 8 6 9 4 7 2 5 3   -
  68   805  T 1 0 E 8 9 6 7 4 5 2 3   5
  69   817  1 T E 0 9 8 7 6 5 4 3 2   -
  70   829  1 E T 9 0 7 8 5 6 3 4 2   1
  71   841  E 1 9 T 7 0 5 8 3 6 2 4   -
  72   853  1 E T 9 7 5 0 3 8 2 6 4   5
  73   865  E 1 9 T 5 7 3 0 2 8 4 6   -
  74   877  E 9 1 T 7 5 0 3 8 2 6 4   14
  75   889  9 E T 1 7 0 5 8 3 6 2 4   5
  76   901  E 9 1 T 0 7 8 5 6 3 4 2   -
  77   913  E 9 T 1 7 0 5 8 3 6 2 4   12
  78   925  9 E T 7 1 5 0 3 8 2 6 4   3
  79   937  9 T E 7 5 1 3 0 2 8 4 6   14
  80   949  T 9 7 E 1 5 0 3 8 2 6 4   -
  81   961  T 9 E 7 5 1 3 0 2 8 4 6   12
  82   973  9 T 7 E 5 3 1 2 0 4 8 6   5
  83   985  9 7 T 5 E 3 2 1 4 0 6 8   16
  84   997  7 9 5 T 3 E 1 2 0 4 8 6   -
  85  1009  7 5 9 3 T E 2 1 4 0 6 8   16
  86  1021  5 7 3 9 E T 2 4 1 6 0 8   7
  87  1033  7 5 9 3 E 2 T 4 6 1 8 0   58
  88  1045  5 7 3 9 2 E 4 T 1 6 0 8   -
  89  1057  5 3 7 2 9 4 E T 6 1 8 0   18
  90  1069  3 5 2 7 4 9 T E 6 8 1 0   9
  91  1081  5 3 7 2 9 4 E T 8 6 0 1   -
  92  1093  5 7 3 9 2 E 4 T 6 8 1 0   18
  93  1105  7 5 9 3 E 2 T 4 8 6 0 1   -
  94  1117  5 7 3 9 2 E 4 T 8 0 6 1   9
  95  1129  7 5 9 3 E 2 T 4 0 8 1 6   -
  96  1141  7 9 5 E 3 T 2 4 8 0 6 1   18
  97  1153  9 7 E 5 T 3 4 2 0 8 1 6   -
  98  1165  7 9 5 E 3 T 2 4 0 1 8 6   9
  99  1177  7 5 9 3 E 2 T 4 1 0 6 8   18
 100  1189  5 7 3 9 2 E 4 T 0 1 8 6   -
 101  1201  7 5 9 3 2 4 E T 1 0 6 8   58
 102  1213  5 7 3 9 4 2 E 1 T 6 0 8   7
 103  1225  5 3 7 4 9 2 1 E 6 T 8 0   16
 104  1237  3 5 4 7 2 9 E 1 T 6 0 8   -
 105  1249  3 4 5 2 7 9 1 E 6 T 8 0   16
 106  1261  4 3 2 5 7 1 9 6 E 8 T 0   5
 107  1273  4 3 5 2 1 7 6 9 8 E 0 T   12
 108  1285  3 4 2 5 7 1 9 6 E 8 T 0   -
