Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,200,214.348
3,440,428.696
4,610,643.043
5,830,857.391
6,1050,1071.74
7,1290,1286.09
8,1480,1500.43
9,1660,1714.78
10,1910,1929.13
11,2080,2143.48
12,2310,2357.83
1,2420,2572.17
2,2740,2786.52
3,2970,3000.87
4,3150,3215.22
5,3360,3429.57
6,3620,3643.91
7,3850,3858.26
8,3990,4072.61
9,4240,4286.96
10,4500,4501.3
11,4730,4715.65
12,4930,4930
1,5440,5357.12
2,5600,5565.91
3,5780,5774.7
4,5970,5983.49
5,6180,6192.28
6,6400,6401.07
7,6630,6609.86
8,6800,6818.65
9,7030,7027.44
10,7260,7236.23
11,7440,7445.02
12,7610,7653.81
1,7930,7862.61
2,8090,8071.4
3,8310,8280.19
4,8480,8488.98
5,8670,8697.77
6,8880,8906.56
7,9110,9115.35
8,9320,9324.14
9,9480,9532.93
10,9700,9741.72
11,9920,9950.51
12,10210,10159.3
1,10700,10624.9
2,10890,10832.6
3,11110,11040.2
4,11310,11247.8
5,11480,11455.4
6,11700,11663.1
7,11900,11870.7
8,12110,12078.3
9,12270,12285.9
10,12500,12493.5
11,12630,12701.2
12,12840,12908.8
1,13150,13116.4
2,13350,13324
3,13540,13531.6
4,13730,13739.3
5,13930,13946.9
6,14170,14154.5
7,14390,14362.1
8,14570,14569.7
9,14770,14777.4
10,14970,14985
11,15150,15192.6
12,15400,15400.2
1,15920,15850.3
2,16090,16055.8
3,16280,16261.2
4,16470,16466.7
5,16650,16672.2
6,16860,16877.7
7,17090,17083.2
8,17280,17288.7
9,17500,17494.1
10,17730,17699.6
11,17890,17905.1
12,18070,18110.6
1,18380,18316.1
2,18560,18521.6
3,18760,18727.1
4,18930,18932.5
5,19130,19138
6,19320,19343.5
7,19530,19549
8,19750,19754.5
9,19930,19960
10,20130,20165.4
11,20350,20370.9
12,20610,20576.4
1,21130,21044.8
2,21300,21250
3,21510,21455.2
4,21670,21660.5
5,21880,21865.7
6,22090,22071
7,22290,22276.2
8,22510,22481.5
9,22700,22686.7
10,22890,22892
11,23010,23097.2
12,23260,23302.5
1,23540,23507.7
2,23740,23712.9
3,23920,23918.2
4,24120,24123.4
5,24310,24328.7
6,24500,24533.9
7,24740,24739.2
8,24930,24944.4
9,25140,25149.7
10,25350,25354.9
11,25540,25560.2
12,25830,25765.4
1,26300,26224.4
2,26470,26428.4
3,26650,26632.4
4,26840,26836.4
5,27020,27040.3
6,27220,27244.3
7,27440,27448.3
8,27620,27652.2
9,27840,27856.2
10,28080,28060.2
11,28250,28264.1
12,28460,28468.1
1,28730,28672.1
2,28920,28876.1
3,29100,29080
4,29290,29284
5,29500,29488
6,29660,29691.9
7,29880,29895.9
8,30090,30099.9
9,30260,30303.8
10,30480,30507.8
11,30680,30711.8
12,30980,30915.8
1,31470,31388
2,31650,31592.7
3,31830,31797.4
4,32030,32002.1
5,32210,32206.8
6,32400,32411.5
7,32620,32616.2
8,32790,32820.9
9,33000,33025.5
10,33200,33230.2
11,33370,33434.9
12,33580,33639.6
1,33910,33844.3
2,34100,34049
3,34290,34253.7
4,34460,34458.4
5,34670,34663.1
6,34860,34867.8
7,35080,35072.5
8,35290,35277.1
9,35470,35481.8
10,35690,35686.5
11,35850,35891.2
12,36120,36095.9
1,36640,36567.1
2,36800,36771.3
3,37000,36975.4
4,37190,37179.5
5,37400,37383.7
6,37580,37587.8
7,37800,37791.9
8,38000,37996.1
9,38210,38200.2
10,38420,38404.3
11,38570,38608.5
12,38790,38812.6
1,39040,39016.7
2,39240,39220.9
3,39440,39425
4,39620,39629.1
5,39770,39833.3
6,39990,40037.4
7,40230,40241.5
8,40460,40445.7
9,40650,40649.8
10,40850,40853.9
11,41060,41058.1
12,41310,41262.2
1,41780,41725.7
2,41960,41929.9
3,42140,42134
4,42340,42338.2
5,42520,42542.3
6,42700,42746.4
7,42950,42950.6
8,43140,43154.7
9,43340,43358.9
10,43570,43563
11,43710,43767.2
12,43970,43971.3
1,44240,44175.4
