   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  1 2 3 4 5 6 7 8 9 0 E T   =
  20   229  1 2 3 4 5 6 7 8 9 0 E T   =
  21   241  1 2 3 4 5 6 7 8 9 0 E T   =
  22   253  1 2 3 4 5 6 7 8 9 0 E T   =
  23   265  1 2 3 4 5 6 7 8 9 0 E T   =
  24   277  1 2 3 4 5 6 7 8 9 0 E T   =
  25   289  2 1 4 3 6 5 8 7 0 9 T E   -
  26   301  1 2 3 4 6 8 5 0 7 T 9 E   5
  27   313  2 1 4 3 8 6 0 5 T 7 E 9   -
  28   325  2 4 1 3 6 8 5 0 7 T 9 E   4
  29   337  4 2 3 1 6 5 8 7 0 9 T E   5
  30   349  2 4 1 3 5 6 7 8 9 0 E T   -
  31   361  4 2 3 1 5 7 6 9 8 E 0 T   5
  32   373  2 4 3 5 1 7 9 6 E 8 T 0   36
  33   385  2 3 4 5 7 1 6 9 8 E 0 T   4
  34   397  3 2 5 4 1 7 9 6 E 8 T 0   -
  35   409  2 3 4 5 7 1 9 E 6 T 8 0   7
  36   421  3 2 5 4 7 9 1 E T 6 0 8   58
  37   433  3 5 2 7 4 9 E 1 6 T 8 0   6
  38   445  5 3 7 2 9 4 1 E T 6 0 8   -
  39   457  3 5 2 7 4 9 E 1 T 0 6 8   9
  40   469  5 3 7 2 9 4 E T 1 0 8 6   70
  41   481  5 7 3 9 2 E 4 T 0 1 6 8   8
  42   493  7 5 9 3 E 2 T 4 1 0 8 6   -
  43   505  7 9 5 E 3 T 2 4 0 1 6 8   8
  44   517  9 7 E 5 T 3 4 2 0 6 1 8   9
  45   529  7 9 5 E 3 T 2 4 6 0 8 1   -
  46   541  7 5 9 3 E 2 T 4 0 6 1 8   8
  47   553  5 7 3 9 2 E 4 T 6 0 8 1   -
  48   565  5 3 7 2 9 4 E 6 T 8 0 1   1
  49   577  3 5 2 7 4 9 6 E 8 T 1 0   -
  50   589  3 2 5 4 7 6 9 E T 8 0 1   8
  51   601  2 3 4 5 6 7 E 9 8 T 1 0   -
  52   613  3 2 5 4 7 6 9 E 8 1 T 0   9
  53   625  3 5 2 7 4 9 6 E 1 8 0 T   8
  54   637  5 3 7 2 9 4 E 6 8 1 T 0   -
  55   649  5 7 3 9 2 E 4 6 1 8 0 T   8
  56   661  7 5 9 3 E 2 4 1 6 8 T 0   70
  57   673  5 7 3 9 2 E 1 4 6 T 8 0   9
  58   685  7 5 9 3 E 2 4 1 T 6 0 8   -
  59   697  7 9 5 E 3 2 1 4 6 T 8 0   6
  60   709  9 7 E 5 3 1 2 4 T 6 0 8   58
  61   721  7 9 5 E 1 3 2 T 4 0 6 8   7
  62   733  9 7 E 5 3 1 T 2 0 4 8 6   -
  63   745  9 E 7 5 1 3 2 T 4 0 6 8   4
  64   757  E 9 7 1 5 3 T 2 0 4 8 6   36
  65   769  9 E 1 7 5 T 3 0 2 8 4 6   5
  66   781  E 9 7 1 T 5 0 3 8 2 6 4   -
  67   793  9 E 1 7 T 0 5 8 3 6 2 4   5
  68   805  9 1 E 7 0 T 8 5 6 3 4 2   4
  69   817  1 9 7 E T 0 5 8 3 6 2 4   -
  70   829  9 1 E 7 T 5 0 3 8 2 6 4   5
  71   841  1 9 7 E 5 T 3 0 2 8 4 6   -
  72   853  1 7 9 5 E 3 T 2 0 4 8 6   1
  73   865  7 1 5 9 3 E 2 T 4 0 6 8   -
  74   877  1 7 9 5 3 2 E 4 T 6 0 8   5
  75   889  7 1 5 9 2 3 4 E 6 T 8 0   -
  76   901  7 5 1 9 3 2 E 4 T 6 0 8   4
  77   913  5 7 9 1 3 E 2 T 4 0 6 8   5
  78   925  7 5 1 9 E 3 T 2 0 4 8 6   -
  79   937  5 7 9 1 E T 3 0 2 8 4 6   5
  80   949  7 5 9 E 1 T 0 3 8 2 6 4   36
  81   961  7 9 5 E T 1 3 0 2 8 4 6   4
  82   973  9 7 E 5 1 T 0 3 8 2 6 4   -
  83   985  7 9 5 E T 1 0 8 3 6 2 4   7
  84   997  9 7 E 5 T 0 1 8 6 3 4 2   58
  85  1009  9 E 7 T 5 0 8 1 3 6 2 4   6
  86  1021  E 9 T 7 0 5 1 8 6 3 4 2   -
  87  1033  9 E 7 T 5 0 8 1 6 4 3 2   9
  88  1045  E 9 T 7 0 5 8 6 1 4 2 3   70
  89  1057  E T 9 0 7 8 5 6 4 1 3 2   8
  90  1069  T E 0 9 8 7 6 5 1 4 2 3   -
  91  1081  T 0 E 8 9 6 7 5 4 1 3 2   8
  92  1093  0 T 8 E 6 9 5 7 4 3 1 2   9
  93  1105  T 0 E 8 9 6 7 5 3 4 2 1   -
  94  1117  T E 0 9 8 7 6 5 4 3 1 2   8
  95  1129  E T 9 0 7 8 5 6 3 4 2 1   -
  96  1141  E 9 T 7 0 5 8 3 6 2 4 1   1
  97  1153  9 E 7 T 5 0 3 8 2 6 1 4   -
  98  1165  9 7 E 5 T 3 0 8 6 2 4 1   8
  99  1177  7 9 5 E 3 T 8 0 2 6 1 4   -
 100  1189  9 7 E 5 T 3 0 8 2 1 6 4   9
 101  1201  9 E 7 T 5 0 3 8 1 2 4 6   8
 102  1213  E 9 T 7 0 5 8 3 2 1 6 4   -
 103  1225  E T 9 0 7 8 5 3 1 2 4 6   8
 104  1237  T E 0 9 8 7 5 1 3 2 6 4   70
 105  1249  E T 9 0 7 8 1 5 3 6 2 4   9
 106  1261  T E 0 9 8 7 5 1 6 3 4 2   -
 107  1273  T 0 E 8 9 7 1 5 3 6 2 4   6
 108  1285  0 T 8 E 9 1 7 5 6 3 4 2   58
