   1     1  1 T E 0 9 8 7 6 5 4 3 2   
   2    13  1 T E 0 9 8 7 6 5 4 3 2   =
   3    25  1 T E 0 9 8 7 6 5 4 3 2   =
   4    37  1 T E 0 9 8 7 6 5 4 3 2   =
   5    49  1 T E 0 9 8 7 6 5 4 3 2   =
   6    61  1 T E 0 9 8 7 6 5 4 3 2   =
   7    73  1 T E 0 9 8 7 6 5 4 3 2   =
   8    85  1 T E 0 9 8 7 6 5 4 3 2   =
   9    97  1 T E 0 9 8 7 6 5 4 3 2   =
  10   109  1 T E 0 9 8 7 6 5 4 3 2   =
  11   121  1 T E 0 9 8 7 6 5 4 3 2   =
  12   133  1 T E 0 9 8 7 6 5 4 3 2   =
  13   145  1 T E 0 9 8 7 6 5 4 3 2   =
  14   157  1 T E 0 9 8 7 6 5 4 3 2   =
  15   169  1 T E 0 9 8 7 6 5 4 3 2   =
  16   181  1 T E 0 9 8 7 6 5 4 3 2   =
  17   193  1 T E 0 9 8 7 6 5 4 3 2   =
  18   205  1 T E 0 9 8 7 6 5 4 3 2   =
  19   217  1 T E 0 9 8 7 6 5 4 3 2   =
  20   229  1 T E 0 9 8 7 6 5 4 3 2   =
  21   241  1 T E 0 9 8 7 6 5 4 3 2   =
  22   253  1 T E 0 9 8 7 6 5 4 3 2   =
  23   265  1 T E 0 9 8 7 6 5 4 3 2   =
  24   277  1 T E 0 9 8 7 6 5 4 3 2   =
  25   289  T 1 0 E 8 9 6 7 4 5 2 3   -
  26   301  1 T 0 8 E 6 9 4 7 2 5 3   3
  27   313  T 1 8 0 6 E 4 9 2 7 3 5   -
  28   325  T 8 1 0 E 6 9 4 7 2 5 3   4
  29   337  8 T 0 1 6 E 4 9 2 7 3 5   -
  30   349  8 T 1 0 6 4 E 2 9 3 7 5   25
  31   361  T 8 0 1 4 6 2 E 3 9 5 7   -
  32   373  8 T 0 4 1 6 E 2 9 3 7 5   36
  33   385  T 8 4 0 6 1 2 E 3 9 5 7   -
  34   397  T 4 8 0 1 6 2 3 E 5 9 7   47
