Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,220,220.435
3,480,440.87
4,740,661.304
5,1090,881.739
6,1300,1102.17
7,1430,1322.61
8,1630,1543.04
9,1820,1763.48
10,2020,1983.91
11,2250,2204.35
12,2450,2424.78
1,2740,2645.22
2,3040,2865.65
3,3260,3086.09
4,3440,3306.52
5,3550,3526.96
6,3930,3747.39
7,4060,3967.83
8,4300,4188.26
9,4520,4408.7
10,4620,4629.13
11,4830,4849.57
12,5070,5070
1,5510,5514.14
2,5770,5725.58
3,5990,5937.03
4,6250,6148.47
5,6420,6359.92
6,6640,6571.36
7,6810,6782.81
8,7000,6994.25
9,7190,7205.7
10,7420,7417.14
11,7550,7628.59
12,7740,7840.03
1,8050,8051.48
2,8290,8262.92
3,8480,8474.37
4,8700,8685.81
5,8910,8897.26
6,9130,9108.7
7,9340,9320.15
8,9540,9531.6
9,9740,9743.04
10,9900,9954.49
11,10090,10165.9
12,10350,10377.4
1,10790,10801.1
2,11040,11006
3,11230,11210.8
4,11440,11415.7
5,11620,11620.5
6,11840,11825.4
7,12030,12030.2
8,12200,12235.1
9,12410,12440
10,12630,12644.8
11,12780,12849.7
12,13010,13054.5
1,13250,13259.4
2,13460,13464.2
3,13700,13669.1
4,13900,13873.9
5,14060,14078.8
6,14280,14283.6
7,14490,14488.5
8,14700,14693.3
9,14900,14898.2
10,15110,15103
11,15260,15307.9
12,15530,15512.7
1,16000,15965.2
2,16210,16169.5
3,16390,16373.9
4,16610,16578.2
5,16790,16782.6
6,17000,16986.9
7,17190,17191.3
8,17350,17395.7
9,17570,17600
10,17800,17804.4
11,17960,18008.7
12,18150,18213.1
1,18430,18417.4
2,18620,18621.8
3,18870,18826.2
4,19050,19030.5
5,19220,19234.9
6,19450,19439.2
7,19700,19643.6
8,19880,19847.9
9,20070,20052.3
10,20260,20256.7
11,20410,20461
12,20640,20665.4
1,21110,21107.7
2,21300,21312.2
3,21510,21516.7
4,21740,21721.2
5,21950,21925.7
6,22150,22130.3
7,22330,22334.8
8,22500,22539.3
9,22740,22743.8
10,22920,22948.3
11,23100,23152.8
12,23270,23357.3
1,23600,23561.9
2,23770,23766.4
3,24000,23970.9
4,24170,24175.4
5,24350,24379.9
6,24610,24584.4
7,24830,24789
8,25030,24993.5
9,25210,25198
10,25440,25402.5
11,25560,25607
12,25800,25811.5
1,26220,26252.3
2,26440,26455.3
3,26680,26658.4
4,26910,26861.4
5,27090,27064.5
6,27300,27267.5
7,27510,27470.6
8,27660,27673.6
9,27860,27876.7
10,28030,28079.7
11,28190,28282.8
12,28430,28485.8
1,28690,28688.9
2,28880,28891.9
3,29110,29095
4,29330,29298
5,29500,29501.1
6,29720,29704.1
7,29950,29907.2
8,30130,30110.2
9,30340,30313.3
10,30520,30516.3
11,30670,30719.4
12,30910,30922.4
1,31360,31368.1
2,31590,31570.5
3,31800,31772.9
4,32000,31975.3
5,32170,32177.7
6,32400,32380.1
7,32610,32582.5
8,32760,32784.9
9,32990,32987.2
10,33190,33189.6
11,33310,33392
12,33520,33594.4
1,33810,33796.8
2,34000,33999.2
3,34220,34201.6
4,34410,34404
5,34590,34606.4
6,34820,34808.8
7,35010,35011.2
8,35260,35213.6
9,35470,35416
10,35620,35618.4
11,35770,35820.8
12,36020,36023.2
1,36470,36472.6
2,36710,36675
3,36900,36877.4
4,37100,37079.7
5,37290,37282.1
6,37510,37484.5
7,37670,37686.8
8,37870,37889.2
9,38120,38091.6
10,38270,38293.9
11,38450,38496.3
12,38630,38698.7
1,38900,38901
2,39100,39103.4
3,39320,39305.8
4,39520,39508.1
5,39680,39710.5
6,39910,39912.9
7,40130,40115.2
8,40340,40317.6
9,40570,40520
10,40760,40722.3
11,40900,40924.7
12,41100,41127.1
1,41590,41581.4
2,41810,41784.4
3,42010,41987.5
4,42210,42190.5
5,42410,42393.5
6,42620,42596.6
7,42820,42799.6
8,42970,43002.7
9,43190,43205.7
10,43410,43408.8
11,43560,43611.8
12,43770,43814.9
1,44020,44017.9
2,44230,44221
3,44410,44424
4,44610,44627.1
5,44810,44830.1
6,45070,45033.2
7,45280,45236.2
8,45430,45439.3
9,45680,45642.3
10,45850,45845.4
11,46010,46048.4
12,46270,46251.4
1,46710,46699.8
2,46930,46902.7
3,47110,47105.6
4,47300,47308.5
5,47530,47511.4
6,47710,47714.4
7,47940,47917.3
8,48130,48120.2
9,48330,48323.1
10,48460,48526
11,48680,48728.9
12,48900,48931.8
1,49120,49134.7
2,49340,49337.6
3,49540,49540.5
4,49770,49743.5
5,49950,49946.4
6,50160,50149.3
7,50370,50352.2
8,50540,50555.1
9,50800,50758
10,50990,50960.9
11,51130,51163.8
12,51360,51366.7
1,51850,51823
2,52060,52028.1
3,52220,52233.2
4,52430,52438.2
5,52680,52643.3
6,52850,52848.4
7,53050,53053.5
8,53240,53258.6
9,53460,53463.6
10,53650,53668.7
11,53810,53873.8
12,54050,54078.9
1,54270,54284
2,54500,54489
3,54680,54694.1
4,54890,54899.2
5,55130,55104.3
6,55350,55309.4
7,55570,55514.4
8,55730,55719.5
9,55960,55924.6
10,56110,56129.7
11,56310,56334.7
12,56540,56539.8
2,56970,56996
1,57240,57200.7
4,57440,57405.4
3,57610,57610.1
6,57840,57814.8
5,58050,58019.6
8,58260,58224.3
7,58440,58429
10,58590,58633.7
9,58780,58838.4
12,58990,59043.1
11,59220,59247.8
1,59460,59452.5
2,59700,59657.2
4,59870,59861.9
6,60100,60066.6
3,60300,60271.3
8,60490,60476
5,60680,60680.7
10,60910,60885.5
7,61090,61090.2
12,61280,61294.9
9,61470,61499.6
11,61680,61704.3
2,62100,62130.1
1,62320,62333.4
6,62530,62536.6
4,62690,62739.9
8,62970,62943.2
3,63150,63146.5
10,63340,63349.8
5,63550,63553.1
12,63720,63756.4
7,63900,63959.7
11,64070,64162.9
9,64280,64366.2
2,64610,64569.5
6,64790,64772.8
1,65030,64976.1
4,65180,65179.4
3,65390,65382.7
8,65610,65585.9
5,65870,65789.2
10,66020,65992.5
7,66160,66195.8
12,66370,66399.1
9,66610,66602.4
11,66800,66805.7
6,67240,67252.4
2,67470,67455.9
4,67710,67659.4
1,67930,67862.9
8,68090,68066.4
3,68290,68269.9
10,68430,68473.4
5,68610,68676.9
12,68840,68880.5
7,69020,69084
11,69200,69287.5
9,69390,69491
6,69720,69694.5
2,69940,69898
1,70170,70101.5
4,70410,70305
8,70580,70508.5
10,70730,70712
3,70940,70915.5
12,71100,71119
5,71230,71322.5
11,71510,71526
7,71710,71729.5
9,71970,71933
2,72310,72368.5
6,72550,72572.5
4,72820,72776.5
1,73020,72980.5
10,73180,73184.5
8,73400,73388.5
12,73540,73592.6
3,73730,73796.6
11,73990,74000.6
5,74170,74204.6
9,74390,74408.6
7,74610,74612.6
6,74840,74816.6
2,75050,75020.6
4,75220,75224.6
10,75440,75428.7
1,75660,75632.7
8,75870,75836.7
3,76050,76040.7
12,76210,76244.7
5,76400,76448.7
11,76660,76652.7
7,76880,76856.7
9,77080,77060.7
2,77510,77510.5
6,77730,77716.6
10,77940,77922.8
4,78130,78128.9
8,78300,78335
1,78560,78541.1
12,78730,78747.2
3,78950,78953.4
11,79140,79159.5
5,79420,79365.6
9,79550,79571.7
7,79730,79777.9
2,80010,79984
10,80230,80190.1
6,80370,80396.2
4,80610,80602.4
1,80830,80808.5
8,80980,81014.6
12,81230,81220.7
11,81420,81426.8
3,81650,81633
9,81840,81839.1
5,82030,82045.2
7,82280,82251.3
10,82680,82673.8
2,82830,82879.1
4,83080,83084.3
6,83290,83289.6
8,83470,83494.8
1,83700,83700.1
11,83880,83905.4
12,84080,84110.6
9,84250,84315.9
3,84550,84521.2
7,84740,84726.4
5,84950,84931.7
2,85140,85137
10,85350,85342.2
6,85550,85547.5
4,85670,85752.7
8,85970,85958
11,86110,86163.3
1,86330,86368.5
12,86590,86573.8
3,86840,86779.1
9,86990,86984.3
5,87220,87189.6
7,87420,87394.8
10,87800,87823.1
2,88030,88028.4
4,88220,88233.7
6,88450,88439
11,88640,88644.3
8,88830,88849.6
12,89040,89054.9
1,89220,89260.2
9,89460,89465.5
3,89690,89670.8
7,89920,89876.1
5,90090,90081.4
10,90270,90286.7
4,90450,90492
2,90630,90697.3
11,90940,90902.6
6,91090,91107.9
8,91350,91313.2
1,91540,91518.5
12,91700,91723.8
9,91900,91929.1
7,92140,92134.4
3,92360,92339.7
5,92580,92545
4,92940,92958.7
10,93160,93164.3
11,93290,93369.9
2,93550,93575.5
8,93770,93781.2
6,93950,93986.8
12,94170,94192.4
1,94390,94398
7,94620,94603.6
9,94840,94809.2
5,95010,95014.8
3,95190,95220.4
10,95420,95426.1
4,95590,95631.7
2,95830,95837.3
11,96070,96042.9
6,96240,96248.5
8,96480,96454.1
12,96590,96659.7
7,96870,96865.3
1,97120,97071
9,97310,97276.6
3,97510,97482.2
5,97680,97687.8
4,98110,98103.7
10,98280,98310
11,98510,98516.3
2,98730,98722.6
8,98900,98928.9
6,99090,99135.1
7,99320,99341.4
12,99500,99547.7
9,99740,99754
1,99960,99960.3
5,100190,100167
3,100390,100373
4,100620,100579
11,100790,100785
10,100940,100992
8,101160,101198
2,101440,101404
7,101620,101611
6,101770,101817
12,101960,102023
1,102260,102229
9,102440,102436
3,102720,102642
5,102870,102848
11,103270,103259
4,103450,103465
8,103650,103670
10,103890,103875
7,104030,104080
2,104320,104286
12,104490,104491
6,104670,104696
9,104850,104901
1,105120,105107
5,105270,105312
3,105530,105517
4,105690,105722
11,105910,105928
10,106130,106133
8,106370,106338
2,106600,106543
7,106760,106749
6,106930,106954
12,107130,107159
9,107320,107364
5,107470,107570
1,107870,107775
3,108050,107980
11,108420,108407
4,108600,108613
8,108810,108819
10,109020,109026
7,109270,109232
2,109500,109439
12,109630,109645
6,109860,109851
5,110030,110058
9,110220,110264
3,110480,110470
1,110690,110677
11,110850,110883
8,111060,111090
4,111320,111296
7,111540,111502
10,111690,111709
12,111880,111915
2,112110,112121
5,112260,112328
6,112540,112534
9,112770,112741
1,112970,112947
3,113210,113153
8,113560,113553
11,113700,113758
7,113940,113964
4,114160,114169
12,114360,114375
10,114550,114580
5,114730,114786
2,114990,114992
9,115200,115197
6,115370,115403
3,115660,115608
1,115840,115814
11,115960,116019
8,116240,116225
4,116420,116430
7,116680,116636
10,116840,116842
12,117000,117047
2,117230,117253
5,117410,117458
6,117650,117664
9,117870,117869
3,118120,118075
1,118350,118280
8,118690,118700
11,118920,118906
7,119110,119112
4,119320,119318
12,119510,119524
10,119750,119730
5,119950,119936
2,120160,120142
9,120320,120348
6,120490,120554
1,120770,120760
3,120990,120966
8,121220,121172
7,121440,121378
11,121570,121584
12,121790,121790
4,121940,121996
5,122170,122202
10,122400,122408
9,122590,122614
2,122760,122820
6,123030,123026
3,123270,123232
1,123500,123438
7,123870,123844
8,124080,124050
12,124260,124255
11,124470,124461
5,124570,124666
4,124790,124872
9,125040,125078
10,125290,125283
6,125460,125489
2,125690,125695
1,125920,125900
3,126160,126106
8,126370,126311
7,126570,126517
11,126660,126723
12,126880,126928
4,127110,127134
5,127310,127340
10,127530,127545
9,127780,127751
6,127900,127957
1,128190,128162
2,128400,128368
3,128620,128573
7,129040,128985
8,129200,129191
12,129380,129397
11,129590,129603
5,129800,129809
4,130000,130014
9,130240,130220
10,130470,130426
1,130610,130632
6,130800,130838
3,131040,131044
2,131220,131250
7,131470,131455
12,131650,131661
8,131870,131867
5,131980,132073
11,132240,132279
9,132440,132485
4,132680,132691
10,132910,132896
6,133130,133102
1,133350,133308
2,133550,133514
3,133770,133720
12,134170,134123
7,134360,134330
5,134470,134536
8,134710,134743
9,134910,134949
11,135120,135156
10,135360,135362
4,135550,135569
1,135780,135775
6,136000,135982
3,136240,136188
2,136380,136395
7,136610,136601
12,136820,136807
8,136970,137014
5,137180,137220
11,137370,137427
9,137620,137633
10,137820,137840
1,138010,138046
4,138260,138253
6,138510,138459
2,138720,138666
3,138920,138872
12,139330,139281
7,139480,139488
5,139710,139695
8,139910,139902
9,140100,140109
11,140300,140316
1,140450,140523
10,140680,140729
6,140960,140936
4,141110,141143
3,141360,141350
2,141530,141557
12,141840,141764
5,141940,141971
7,142220,142178
9,142420,142385
8,142560,142592
11,142750,142799
10,142990,143005
1,143200,143212
6,143430,143419
3,143650,143626
4,143880,143833
2,144030,144040
5,144320,144439
12,144660,144648
9,144850,144857
7,145040,145066
11,145290,145275
8,145470,145484
1,145690,145693
10,145920,145902
3,146100,146111
6,146320,146319
2,146550,146528
4,146810,146737
12,146920,146946
5,147060,147155
7,147350,147364
9,147580,147573
11,147780,147782
1,148020,147991
8,148220,148200
10,148350,148409
6,148630,148618
3,148840,148827
4,149080,149035
2,149250,149244
5,149600,149637
12,149830,149845
9,150030,150053
7,150240,150261
1,150470,150469
11,150730,150677
10,150840,150885
8,151100,151093
3,151350,151302
6,151520,151510
2,151740,151718
4,151960,151926
5,152060,152134
9,152330,152342
12,152510,152550
7,152720,152758
11,152890,152966
1,153190,153174
10,153390,153382
3,153600,153590
8,153810,153799
2,154020,154007
6,154210,154215
4,154480,154423
9,154840,154817
5,154990,155025
7,155160,155233
12,155430,155441
1,155670,155649
11,155810,155857
3,156100,156065
10,156310,156273
2,156470,156481
8,156700,156689
4,156910,156897
6,157120,157105
5,157280,157313
9,157550,157521
7,157690,157730
1,157950,157938
12,158110,158146
11,158320,158354
10,158570,158562
3,158780,158770
8,158990,158978
2,159190,159186
6,159430,159394
4,159590,159602
9,160030,160009
5,160240,160217
1,160420,160426
7,160650,160634
11,160760,160843
12,161080,161051
3,161250,161260
10,161490,161468
2,161680,161677
8,161870,161885
4,162100,162094
6,162330,162302
9,162530,162511
5,162730,162719
7,162940,162928
