Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,220,221.739
3,540,443.478
4,770,665.217
5,1030,886.957
6,1350,1108.7
7,1590,1330.43
8,1710,1552.17
9,1920,1773.91
10,2170,1995.65
11,2380,2217.39
12,2560,2439.13
1,2790,2660.87
2,2820,2882.61
3,3200,3104.35
4,3390,3326.09
5,3620,3547.83
6,3940,3769.57
7,4180,3991.3
8,4270,4213.04
9,4480,4434.78
10,4710,4656.52
11,4930,4878.26
12,5100,5100
1,5520,5533.02
2,5760,5741.4
3,6010,5949.78
4,6260,6158.16
5,6420,6366.54
6,6650,6574.92
7,6820,6783.3
8,7000,6991.68
9,7200,7200.06
10,7370,7408.44
11,7510,7616.81
12,7750,7825.19
1,8010,8033.57
2,8260,8241.95
3,8510,8450.33
4,8730,8658.71
5,8900,8867.09
6,9130,9075.47
7,9300,9283.85
8,9460,9492.23
9,9650,9700.61
10,9860,9908.99
11,10010,10117.4
12,10270,10325.7
1,10640,10738.6
2,10920,10940
3,11140,11141.4
4,11380,11342.8
5,11550,11544.2
6,11810,11745.7
7,11990,11947.1
8,12110,12148.5
9,12350,12349.9
10,12540,12551.3
11,12680,12752.8
12,12860,12954.2
1,13060,13155.6
2,13320,13357
3,13590,13558.4
4,13810,13759.9
5,13980,13961.3
6,14230,14162.7
7,14420,14364.1
8,14540,14565.5
9,14760,14767
10,14960,14968.4
11,15120,15169.8
12,15360,15371.2
1,15740,15805.4
2,15960,16007.1
3,16230,16208.7
4,16430,16410.3
5,16580,16612
6,16860,16813.6
7,17020,17015.2
8,17200,17216.8
9,17420,17418.5
10,17600,17620.1
11,17760,17821.7
12,17970,18023.4
1,18220,18225
2,18450,18426.6
3,18670,18628.2
4,18900,18829.9
5,19040,19031.5
6,19270,19233.1
7,19450,19434.8
8,19620,19636.4
9,19830,19838
10,20050,20039.7
11,20190,20241.3
12,20440,20442.9
1,20810,20871.8
2,21030,21074.4
3,21240,21276.9
4,21480,21479.5
5,21680,21682.1
6,21940,21884.7
7,22120,22087.3
8,22290,22289.9
9,22490,22492.5
10,22670,22695.1
11,22860,22897.7
12,23030,23100.2
1,23260,23302.8
2,23500,23505.4
3,23740,23708
4,23950,23910.6
5,24130,24113.2
6,24350,24315.8
7,24550,24518.4
8,24720,24721
9,24910,24923.5
10,25130,25126.1
11,25320,25328.7
12,25530,25531.3
1,25890,25945.4
2,26100,26147
3,26330,26348.5
4,26540,26550
5,26740,26751.5
6,26990,26953
7,27170,27154.5
8,27310,27356
9,27540,27557.5
10,27770,27759
11,27930,27960.5
12,28110,28162
1,28350,28363.5
2,28560,28565
3,28790,28766.5
4,28990,28968
5,29150,29169.5
6,29410,29371
7,29600,29572.5
8,29780,29774.1
9,29930,29975.6
10,30170,30177.1
11,30370,30378.6
12,30620,30580.1
1,30970,31009
2,31190,31210.6
3,31430,31412.1
4,31630,31613.7
5,31820,31815.3
6,32030,32016.9
7,32280,32218.5
8,32410,32420.1
9,32600,32621.7
10,32820,32823.2
11,32960,33024.8
12,33150,33226.4
1,33400,33428
2,33630,33629.6
3,33850,33831.2
4,34090,34032.8
5,34230,34234.3
6,34460,34435.9
7,34670,34637.5
8,34870,34839.1
9,35050,35040.7
10,35240,35242.3
11,35440,35443.9
12,35600,35645.5
1,36060,36072.9
2,36300,36275
3,36510,36477.2
4,36670,36679.3
5,36850,36881.4
6,37090,37083.6
7,37310,37285.7
8,37480,37487.9
9,37660,37690
10,37890,37892.2
11,38010,38094.3
12,38230,38296.4
1,38450,38498.6
2,38670,38700.7
3,38940,38902.9
4,39130,39105
5,39340,39307.2
6,39580,39509.3
7,39790,39711.4
8,39930,39913.6
9,40100,40115.7
10,40300,40317.9
11,40480,40520
12,40730,40722.2
1,41120,41145.9
2,41370,41347.7
3,41580,41549.5
4,41730,41751.4
5,41940,41953.2
6,42170,42155.1
7,42410,42356.9
8,42530,42558.7
9,42740,42760.6
10,42910,42962.4
11,43040,43164.2
12,43340,43366.1
1,43530,43567.9
2,43790,43769.8
3,44020,43971.6
4,44210,44173.4
5,44420,44375.3
6,44630,44577.1
7,44840,44778.9
8,44980,44980.8
9,45170,45182.6
10,45360,45384.5
11,45540,45586.3
12,45790,45788.1
1,46180,46215.2
2,46420,46417.7
3,46640,46620.1
4,46830,46822.5
5,47050,47024.9
6,47230,47227.3
7,47450,47429.7
8,47630,47632.1
9,47820,47834.5
10,48030,48036.9
11,48160,48239.3
12,48380,48441.8
1,48600,48644.2
2,48850,48846.6
3,49070,49049
4,49300,49251.4
5,49490,49453.8
6,49710,49656.2
7,49900,49858.6
8,50050,50061
9,50240,50263.4
10,50460,50465.9
11,50660,50668.3
12,50860,50870.7
1,51250,51291.4
2,51490,51493.6
3,51710,51695.8
4,51890,51898
5,52120,52100.3
6,52310,52302.5
7,52530,52504.7
8,52700,52706.9
9,52910,52909.1
10,53090,53111.3
11,53270,53313.5
12,53460,53515.7
1,53670,53717.9
2,53910,53920.1
3,54140,54122.3
4,54350,54324.5
5,54540,54526.8
6,54780,54729
7,54980,54931.2
8,55140,55133.4
9,55320,55335.6
10,55530,55537.8
11,55730,55740
12,55930,55942.2
1,56360,56365.6
2,56570,56568.8
3,56790,56772
4,56940,56975.2
5,57170,57178.4
6,57400,57381.5
7,57580,57584.7
8,57770,57787.9
9,57970,57991.1
10,58170,58194.3
11,58370,58397.4
12,58550,58600.6
1,58790,58803.8
2,59050,59007
3,59260,59210.2
4,59420,59413.3
5,59610,59616.5
6,59870,59819.7
7,60050,60022.9
8,60240,60226.1
9,60420,60429.2
10,60620,60632.4
11,60840,60835.6
12,61010,61038.8
1,61430,61454.8
2,61660,61657.2
3,61880,61859.6
4,62060,62062
5,62250,62264.4
6,62490,62466.8
7,62720,62669.2
8,62860,62871.7
9,63050,63074.1
10,63190,63276.5
11,63410,63478.9
12,63630,63681.3
1,63860,63883.7
2,64110,64086.1
3,64320,64288.5
4,64540,64490.9
5,64710,64693.4
6,64940,64895.8
7,65130,65098.2
8,65300,65300.6
9,65500,65503
10,65680,65705.4
11,65900,65907.8
12,66100,66110.2
1,66510,66536.2
2,66750,66738.8
3,66980,66941.3
4,67160,67143.8
5,67360,67346.3
6,67560,67548.8
7,67770,67751.3
8,67970,67953.8
9,68140,68156.3
10,68310,68358.9
11,68520,68561.4
12,68700,68763.9
1,68910,68966.4
2,69170,69168.9
3,69390,69371.4
4,69610,69573.9
5,69810,69776.4
6,70050,69978.9
7,70240,70181.5
8,70390,70384
9,70590,70586.5
10,70770,70789
11,70990,70991.5
12,71130,71194
1,71610,71613.8
2,71820,71819
3,72040,72024.1
4,72230,72229.2
5,72430,72434.3
6,72620,72639.5
7,72840,72844.6
8,73060,73049.7
9,73280,73254.8
10,73400,73460
11,73590,73665.1
12,73800,73870.2
1,74030,74075.3
2,74300,74280.5
3,74470,74485.6
4,74710,74690.7
5,74920,74895.8
6,75120,75101
7,75320,75306.1
8,75530,75511.2
9,75740,75716.3
10,75940,75921.5
11,76150,76126.6
12,76340,76331.7
2,76780,76763.5
1,76990,76967.3
4,77240,77171
3,77420,77374.8
6,77580,77578.5
5,77800,77782.3
8,77990,77986.1
7,78170,78189.8
10,78300,78393.6
9,78600,78597.3
12,78750,78801.1
11,78970,79004.8
1,79200,79208.6
2,79440,79412.3
4,79710,79616.1
6,79870,79819.9
3,80050,80023.6
8,80240,80227.4
5,80440,80431.1
10,80640,80634.9
7,80830,80838.6
12,81030,81042.4
9,81190,81246.2
11,81420,81449.9
2,81840,81861.8
1,82060,82065.1
6,82280,82268.5
4,82440,82471.8
8,82670,82675.2
3,82910,82878.6
10,83090,83081.9
5,83260,83285.3
12,83480,83488.7
7,83670,83692
11,83800,83895.4
9,84030,84098.7
2,84290,84302.1
6,84540,84505.5
1,84760,84708.8
4,84970,84912.2
3,85150,85115.6
8,85310,85318.9
5,85530,85522.3
10,85720,85725.6
7,85920,85929
12,86090,86132.4
9,86330,86335.7
11,86580,86539.1
6,86970,86954.8
2,87110,87158.7
4,87350,87362.6
1,87570,87566.6
8,87760,87770.5
3,87990,87974.5
10,88140,88178.4
5,88370,88382.3
12,88570,88586.3
7,88740,88790.2
11,88970,88994.1
9,89130,89198.1
6,89460,89402
2,89700,89605.9
1,89870,89809.9
4,90090,90013.8
8,90210,90217.8
10,90410,90421.7
3,90630,90625.6
12,90800,90829.6
5,90980,91033.5
11,91250,91237.4
7,91440,91441.4
9,91640,91645.3
2,92070,92059.3
6,92260,92262.7
4,92470,92466
1,92660,92669.4
10,92910,92872.7
8,93100,93076.1
12,93210,93279.4
3,93390,93482.8
11,93670,93686.1
5,93870,93889.5
9,94070,94092.8
7,94280,94296.2
6,94560,94499.5
2,94740,94702.9
4,94940,94906.2
10,95130,95109.6
1,95320,95312.9
8,95540,95516.3
3,95770,95719.6
12,95890,95923
5,96060,96126.4
11,96350,96329.7
7,96540,96533.1
9,96710,96736.4
2,97150,97148.7
6,97380,97352.2
10,97590,97555.8
4,97720,97759.3
8,97970,97962.8
1,98170,98166.3
12,98310,98369.8
3,98520,98573.3
11,98770,98776.9
5,99000,98980.4
9,99160,99183.9
7,99330,99387.4
2,99620,99590.9
10,99840,99794.5
6,100000,99998
4,100190,100201
1,100430,100405
8,100600,100609
12,100790,100812
11,100980,101016
3,101250,101219
9,101410,101423
5,101640,101626
7,101870,101830
10,102220,102231
2,102410,102434
4,102660,102636
6,102850,102839
8,103010,103042
1,103210,103244
11,103410,103447
12,103620,103649
9,103810,103852
3,104070,104055
7,104280,104257
5,104500,104460
2,104650,104662
10,104870,104865
6,105080,105067
4,105270,105270
8,105460,105473
11,105660,105675
1,105820,105878
12,106120,106080
3,106300,106283
9,106470,106486
5,106680,106688
7,106930,106891
10,107280,107312
2,107500,107516
4,107770,107719
6,107990,107923
11,108120,108127
8,108340,108331
12,108510,108535
1,108670,108739
9,108950,108943
3,109170,109147
7,109330,109351
5,109570,109555
10,109760,109759
4,109980,109963
2,110110,110167
11,110440,110371
6,110600,110575
8,110810,110778
1,111000,110982
12,111150,111186
9,111340,111390
7,111590,111594
3,111790,111798
5,112030,112002
4,112410,112404
10,112640,112608
11,112800,112812
2,112970,113015
8,113220,113219
6,113420,113423
12,113570,113627
1,113770,113830
7,114030,114034
9,114260,114238
5,114420,114442
3,114620,114645
10,114860,114849
4,115070,115053
2,115220,115257
11,115510,115460
6,115660,115664
8,115900,115868
12,116030,116071
7,116290,116275
1,116510,116479
9,116660,116683
3,116880,116886
5,117120,117090
4,117520,117491
10,117730,117694
11,117840,117898
2,118080,118101
8,118280,118304
6,118480,118508
7,118700,118711
12,118870,118915
9,119120,119118
1,119350,119321
5,119510,119525
3,119750,119728
4,119890,119932
11,120150,120135
10,120340,120338
8,120540,120542
2,120780,120745
7,120940,120949
6,121120,121152
12,121350,121355
1,121570,121559
9,121750,121762
3,121990,121966
5,122190,122169
11,122530,122556
4,122660,122760
8,122930,122964
10,123170,123167
7,123360,123371
2,123620,123574
12,123790,123778
6,124000,123981
9,124180,124185
1,124360,124389
5,124540,124592
3,124770,124796
4,124970,124999
11,125190,125203
10,125430,125407
8,125600,125610
2,125830,125814
7,126050,126017
6,126230,126221
12,126390,126425
9,126590,126628
5,126800,126832
1,127100,127035
3,127290,127239
11,127630,127639
4,127800,127843
8,128000,128047
10,128290,128251
7,128470,128454
2,128670,128658
12,128840,128862
6,129070,129066
5,129270,129270
9,129490,129474
3,129720,129678
1,129880,129882
11,130080,130086
8,130300,130290
4,130530,130494
7,130710,130698
10,130890,130902
12,131050,131106
2,131250,131309
5,131440,131513
6,131700,131717
9,131940,131921
1,132170,132125
3,132390,132329
8,132760,132735
11,132960,132939
7,133210,133144
4,133340,133348
12,133490,133552
10,133730,133756
5,133920,133960
2,134120,134164
9,134380,134368
6,134560,134572
3,134810,134776
1,135000,134980
11,135170,135184
8,135470,135388
4,135640,135592
7,135850,135796
10,136030,136000
12,136120,136204
2,136360,136408
5,136540,136612
6,136800,136816
9,136980,137020
3,137250,137224
1,137500,137428
8,137910,137834
11,138060,138038
7,138250,138241
4,138470,138445
12,138620,138648
10,138860,138852
5,139030,139055
2,139220,139259
9,139450,139462
6,139630,139666
1,139830,139869
3,140060,140073
8,140340,140276
7,140540,140480
11,140670,140683
12,140880,140887
4,141030,141090
5,141250,141294
10,141500,141497
9,141700,141701
2,141910,141904
6,142160,142108
3,142320,142311
1,142520,142514
7,142920,142909
8,143120,143113
12,143280,143318
11,143500,143522
5,143670,143726
4,143930,143930
9,144130,144134
10,144360,144338
6,144560,144542
2,144730,144747
1,144940,144951
3,145190,145155
8,145390,145359
7,145580,145563
11,145700,145767
12,145920,145972
4,146190,146176
5,146340,146380
10,146560,146584
9,146760,146788
6,147000,146992
1,147230,147196
2,147430,147401
3,147660,147605
7,148020,147993
8,148170,148197
12,148370,148401
11,148610,148605
5,148790,148809
4,149030,149013
9,149180,149217
10,149420,149422
1,149570,149626
6,149840,149830
3,150060,150034
2,150240,150238
7,150440,150442
12,150630,150646
8,150810,150850
5,151040,151054
11,151230,151258
9,151440,151462
4,151690,151667
10,151840,151871
6,152120,152075
1,152290,152279
2,152500,152483
3,152730,152687
12,153120,153086
7,153310,153291
5,153490,153495
8,153710,153699
9,153920,153904
11,154120,154108
10,154300,154312
4,154470,154517
1,154680,154721
6,154900,154925
3,155180,155130
2,155330,155334
7,155550,155538
12,155730,155743
8,155940,155947
5,156100,156151
11,156330,156356
9,156530,156560
10,156770,156764
1,156980,156969
4,157230,157173
6,157430,157377
2,157530,157582
3,157820,157786
12,158190,158184
7,158420,158390
5,158560,158596
8,158800,158802
9,159000,159008
11,159220,159214
1,159400,159420
10,159620,159626
6,159870,159832
4,160010,160038
3,160240,160244
2,160440,160450
12,160700,160656
5,160820,160862
7,161080,161068
9,161270,161274
8,161450,161480
11,161660,161686
10,161860,161892
1,162050,162098
6,162330,162304
3,162550,162510
4,162750,162716
2,162970,162923
5,163260,163303
12,163480,163509
9,163720,163715
7,163880,163920
11,164100,164126
8,164320,164332
1,164520,164538
10,164710,164743
3,164940,164949
6,165190,165155
2,165410,165361
4,165630,165566
12,165790,165772
5,165940,165978
7,166180,166184
9,166360,166389
11,166570,166595
1,166780,166801
8,167000,167007
10,167200,167212
6,167440,167418
3,167610,167624
4,167850,167830
2,168060,168035
5,168370,168422
12,168620,168627
9,168810,168833
7,169020,169038
1,169240,169244
11,169490,169449
10,169670,169655
8,169850,169860
3,170100,170065
6,170310,170271
2,170530,170476
4,170720,170682
5,170850,170887
9,171080,171093
12,171250,171298
7,171430,171504
11,171680,171709
1,171910,171914
10,172130,172120
3,172320,172325
8,172500,172531
2,172730,172736
6,172940,172942
4,173230,173147
9,173560,173536
5,173760,173741
7,173940,173946
12,174090,174151
1,174310,174356
11,174550,174561
3,174840,174766
10,175020,174971
2,175120,175176
8,175350,175381
4,175610,175586
6,175790,175791
5,176010,175996
9,176190,176201
7,176430,176406
1,176580,176611
12,176810,176816
11,177010,177021
10,177240,177226
3,177440,177431
8,177640,177636
2,177810,177841
6,178040,178046
4,178280,178251
9,178670,178649
5,178880,178854
1,179040,179059
7,179250,179265
11,179490,179470
12,179680,179675
3,179860,179881
10,180080,180086
2,180290,180291
8,180490,180497
4,180680,180702
6,180920,180907
9,181100,181113
5,181360,181318
7,181560,181523
1,181730,181729
11,181990,181934
3,182140,182139
12,182350,182345
2,182520,182550
10,182710,182755
4,182960,182961
8,183130,183166
6,183400,183371
5,183790,183766
9,183960,183970
1,184140,184174
7,184360,184379
3,184650,184583
11,184850,184788
2,184990,184992
12,185220,185197
4,185390,185401
10,185570,185606
6,185810,185810
8,185950,186015
5,186200,186219
1,186490,186423
9,186660,186628
7,186810,186832
11,186990,187037
3,187260,187241
12,187480,187446
2,187590,187650
10,187830,187855
4,188020,188059
8,188290,188263
6,188520,188468
1,188910,188868
5,189040,189072
7,189270,189276
9,189490,189481
3,189730,189685
11,189940,189889
2,190060,190094
12,190370,190298
4,190430,190502
10,190670,190707
6,190840,190911
8,191090,191116
5,191350,191320
1,191540,191524
7,191780,191729
3,192010,191933
9,192150,192137
2,192320,192342
11,192540,192546
4,192690,192751
12,192960,192955
6,193170,193159
10,193330,193364
8,193590,193568
1,193980,193964
5,194160,194169
3,194410,194374
7,194560,194579
2,194830,194784
9,195030,194989
4,195190,195194
11,195370,195399
6,195570,195604
12,195770,195809
8,195970,196014
10,196180,196219
1,196400,196424
5,196600,196629
7,196850,196834
3,197080,197039
9,197250,197244
2,197470,197449
11,197670,197654
4,197880,197859
12,198050,198064
6,198270,198269
10,198450,198474
8,198720,198679
5,199080,199082
1,199270,199287
3,199550,199492
7,199710,199697
2,199930,199902
9,200150,200108
4,200280,200313
11,200490,200518
6,200690,200723
12,200890,200928
8,201110,201133
