Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,190,217.391
3,430,434.783
4,700,652.174
5,1020,869.565
6,1240,1086.96
7,1460,1304.35
8,1590,1521.74
9,1850,1739.13
10,2050,1956.52
11,2280,2173.91
12,2490,2391.3
1,2700,2608.7
2,2980,2826.09
3,3160,3043.48
4,3380,3260.87
5,3610,3478.26
6,3810,3695.65
7,4050,3913.04
8,4190,4130.43
9,4410,4347.83
10,4610,4565.22
11,4810,4782.61
12,5000,5000
1,5450,5432.54
2,5640,5639.32
3,5910,5846.1
4,6080,6052.88
5,6290,6259.66
6,6530,6466.44
7,6700,6673.22
8,6880,6880
9,7060,7086.78
10,7310,7293.56
11,7500,7500.34
12,7670,7707.12
1,7930,7913.9
2,8170,8120.68
3,8370,8327.46
4,8570,8534.25
5,8760,8741.03
6,8960,8947.81
7,9150,9154.59
8,9350,9361.37
9,9490,9568.15
10,9740,9774.93
11,9910,9981.71
12,10120,10188.5
1,10600,10600.2
2,10800,10801.2
3,11040,11002.2
4,11210,11203.2
5,11390,11404.1
6,11600,11605.1
7,11770,11806.1
8,11940,12007.1
9,12130,12208
10,12370,12409
11,12530,12610
12,12790,12811
1,13030,13011.9
2,13270,13212.9
3,13460,13413.9
4,13670,13614.9
5,13850,13815.8
6,14050,14016.8
7,14240,14217.8
8,14390,14418.8
9,14590,14619.8
10,14820,14820.7
11,14980,15021.7
12,15200,15222.7
1,15670,15672.1
2,15900,15873.7
3,16130,16075.2
4,16290,16276.8
5,16480,16478.3
6,16710,16679.9
7,16890,16881.4
8,17040,17083
9,17240,17284.5
10,17450,17486.1
11,17650,17687.6
12,17880,17889.2
1,18120,18090.7
2,18340,18292.3
3,18540,18493.8
4,18720,18695.4
5,18910,18896.9
6,19120,19098.5
7,19330,19300
8,19470,19501.6
9,19710,19703.1
10,19900,19904.7
11,20060,20106.2
12,20290,20307.8
1,20750,20753
2,20960,20953.6
3,21210,21154.2
4,21430,21354.7
5,21560,21555.3
6,21770,21755.9
7,21930,21956.5
8,22100,22157.1
9,22300,22357.7
10,22540,22558.2
11,22700,22758.8
12,22930,22959.4
1,23190,23160
2,23410,23360.6
3,23640,23561.1
4,23800,23761.7
5,23970,23962.3
6,24180,24162.9
7,24390,24363.5
8,24540,24564
9,24750,24764.6
10,24950,24965.2
