   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  2 1 4 3 6 5 8 7 0 9 T E   -
  16   181  1 2 4 6 3 8 5 0 7 T 9 E   3
  17   193  2 1 6 4 8 3 0 5 T 7 E 9   -
  18   205  2 6 1 4 3 8 5 0 7 T 9 E   4
  19   217  6 2 4 1 8 3 0 5 T 7 E 9   -
  20   229  6 2 1 4 8 0 3 T 5 E 7 9   25
  21   241  2 6 4 1 0 8 T 3 E 5 9 7   -
  22   253  6 2 4 0 1 8 3 T 5 E 7 9   36
  23   265  2 6 0 4 8 1 T 3 E 5 9 7   -
  24   277  2 0 6 4 1 8 T E 3 9 5 7   47
  25   289  0 2 4 6 8 1 E T 9 3 7 5   -
  26   301  2 0 6 4 8 E 1 T 3 9 5 7   58
  27   313  0 2 4 6 E 8 T 1 9 3 7 5   -
  28   325  0 4 2 E 6 8 1 T 9 7 3 5   69
  29   337  4 0 E 2 8 6 T 1 7 9 5 3   -
  30   349  0 4 2 E 6 8 T 7 1 9 3 5   70
  31   361  4 0 E 2 8 6 7 T 9 1 5 3   -
  32   373  4 E 0 8 2 7 6 T 1 9 3 5   8
  33   385  E 4 8 0 7 2 T 6 9 1 5 3   -
  34   397  4 E 0 8 2 7 6 T 9 5 1 3   9
  35   409  E 4 8 0 7 2 T 6 5 9 3 1   -
  36   421  E 8 4 7 0 T 2 5 6 9 1 3   0
  37   433  8 E 7 4 T 0 5 2 9 6 3 1   -
  38   445  E 8 4 7 0 T 2 5 6 9 3 1   E
  39   457  8 E 7 4 T 0 5 2 9 6 1 3   -
  40   469  8 7 E T 4 5 0 9 2 6 3 1   0
  41   481  7 8 T E 5 4 9 0 6 2 1 3   -
  42   493  8 7 E T 4 5 0 9 6 1 2 3   9
  43   505  7 8 T E 5 4 9 0 1 6 3 2   -
  44   517  7 T 8 5 E 9 4 0 6 1 2 3   8
  45   529  T 7 5 8 9 E 0 4 1 6 3 2   -
  46   541  7 T 8 5 E 9 0 1 4 6 2 3   70
  47   553  T 7 5 8 9 E 1 0 6 4 3 2   -
  48   565  T 5 7 9 8 E 0 1 6 3 4 2   69
  49   577  5 T 9 7 E 8 1 0 3 6 2 4   -
  50   589  T 5 7 9 E 1 8 0 6 3 4 2   58
  51   601  5 T 9 7 1 E 0 8 3 6 2 4   -
  52   613  5 9 T 7 E 1 0 3 8 2 6 4   47
  53   625  9 5 7 T 1 E 3 0 2 8 4 6   -
  54   637  5 9 7 1 T E 0 3 8 2 6 4   36
  55   649  9 5 1 7 E T 3 0 2 8 4 6   -
  56   661  9 5 7 1 E 3 T 2 0 4 8 6   25
  57   673  5 9 1 7 3 E 2 T 4 0 6 8   -
  58   685  5 1 9 7 E 3 T 2 0 4 8 6   4
  59   697  1 5 7 9 3 E 2 T 4 0 6 8   -
  60   709  5 1 7 3 9 2 E 4 T 6 0 8   3
  61   721  1 5 3 7 2 9 4 E 6 T 8 0   -
  62   733  1 3 5 2 7 4 9 6 E 8 T 0   1
  63   745  3 1 2 5 4 7 6 9 8 E 0 T   -
  64   757  1 3 2 4 5 7 6 8 9 0 E T   367
  65   769  3 1 4 2 6 5 8 7 0 9 T E   ?
  66   781  3 4 1 2 5 6 7 8 9 0 E T   4
  67   793  4 3 2 1 6 5 8 7 0 9 T E   -
  68   805  4 3 1 2 6 8 5 0 7 T 9 E   25
  69   817  3 4 2 1 8 6 0 5 T 7 E 9   -
  70   829  4 3 2 8 1 6 5 0 7 T 9 E   36
  71   841  3 4 8 2 6 1 0 5 T 7 E 9   -
  72   853  3 8 4 2 1 6 0 T 5 E 7 9   47
  73   865  8 3 2 4 6 1 T 0 E 5 9 7   -
  74   877  3 8 4 2 6 T 1 0 5 E 7 9   58
  75   889  8 3 2 4 T 6 0 1 E 5 9 7   -
  76   901  8 2 3 T 4 6 1 0 E 9 5 7   69
  77   913  2 8 T 3 6 4 0 1 9 E 7 5   -
  78   925  8 2 3 T 4 6 0 9 1 E 5 7   70
  79   937  2 8 T 3 6 4 9 0 E 1 7 5   -
  80   949  2 T 8 6 3 9 4 0 1 E 5 7   8
  81   961  T 2 6 8 9 3 0 4 E 1 7 5   -
  82   973  2 T 8 6 3 9 4 0 E 7 1 5   9
  83   985  T 2 6 8 9 3 0 4 7 E 5 1   -
  84   997  T 6 2 9 8 0 3 7 4 E 1 5   0
  85  1009  6 T 9 2 0 8 7 3 E 4 5 1   -
  86  1021  T 6 2 9 8 0 3 7 4 E 5 1   E
  87  1033  6 T 9 2 0 8 7 3 E 4 1 5   -
  88  1045  6 9 T 0 2 7 8 E 3 4 5 1   0
  89  1057  9 6 0 T 7 2 E 8 4 3 1 5   -
  90  1069  6 9 T 0 2 7 8 E 4 1 3 5   9
  91  1081  9 6 0 T 7 2 E 8 1 4 5 3   -
  92  1093  9 0 6 7 T E 2 8 4 1 3 5   8
  93  1105  0 9 7 6 E T 8 2 1 4 5 3   -
  94  1117  9 0 6 7 T E 8 1 2 4 3 5   70
  95  1129  0 9 7 6 E T 1 8 4 2 5 3   -
  96  1141  0 7 9 E 6 T 8 1 4 5 2 3   69
  97  1153  7 0 E 9 T 6 1 8 5 4 3 2   -
  98  1165  0 7 9 E T 1 6 8 4 5 2 3   58
  99  1177  7 0 E 9 1 T 8 6 5 4 3 2   -
 100  1189  7 E 0 9 T 1 8 5 6 3 4 2   47
 101  1201  E 7 9 0 1 T 5 8 3 6 2 4   -
 102  1213  7 E 9 1 0 T 8 5 6 3 4 2   36
 103  1225  E 7 1 9 T 0 5 8 3 6 2 4   -
 104  1237  E 7 9 1 T 5 0 3 8 2 6 4   25
 105  1249  7 E 1 9 5 T 3 0 2 8 4 6   -
 106  1261  7 1 E 9 T 5 0 3 8 2 6 4   4
 107  1273  1 7 9 E 5 T 3 0 2 8 4 6   -
