Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,180,209.13
3,420,418.261
4,490,627.391
5,710,836.522
6,920,1045.65
7,1190,1254.78
8,1340,1463.91
9,1600,1673.04
10,1810,1882.17
11,1950,2091.3
12,2170,2300.43
1,2260,2509.57
2,2610,2718.7
3,2870,2927.83
4,2920,3136.96
5,3110,3346.09
6,3330,3555.22
7,3520,3764.35
8,3730,3973.48
9,3980,4182.61
10,4220,4391.74
11,4440,4600.87
12,4810,4810
1,5210,5168.58
2,5410,5365.64
3,5580,5562.71
4,5720,5759.78
5,5910,5956.84
6,6080,6153.91
7,6300,6350.98
8,6440,6548.04
9,6710,6745.11
10,6920,6942.17
11,7080,7139.24
12,7320,7336.31
1,7590,7533.37
2,7790,7730.44
3,8000,7927.51
4,8090,8124.57
5,8290,8321.64
6,8490,8518.7
7,8680,8715.77
8,8820,8912.84
9,9110,9109.9
10,9300,9306.97
11,9500,9504.04
12,9780,9701.1
1,10210,10138.1
2,10380,10336.2
3,10590,10534.3
4,10740,10732.5
5,10950,10930.6
6,11120,11128.7
7,11300,11326.8
8,11540,11524.9
9,11720,11723
10,11930,11921.2
11,12120,12119.3
12,12320,12317.4
1,12530,12515.5
2,12730,12713.6
3,12970,12911.7
4,13090,13109.9
5,13270,13308
6,13480,13506.1
7,13630,13704.2
8,13910,13902.3
9,14110,14100.5
10,14280,14298.6
11,14510,14496.7
12,14740,14694.8
1,15160,15113.4
2,15320,15309.7
3,15540,15506.1
4,15680,15702.5
5,15900,15898.9
6,16070,16095.3
7,16260,16291.6
8,16470,16488
9,16690,16684.4
10,16940,16880.8
11,17090,17077.2
12,17300,17273.5
1,17520,17469.9
2,17680,17666.3
3,17860,17862.7
4,18010,18059
5,18200,18255.4
6,18410,18451.8
7,18630,18648.2
8,18820,18844.6
9,19050,19040.9
10,19240,19237.3
11,19420,19433.7
12,19690,19630.1
1,20130,20068.5
2,20310,20264.4
3,20520,20460.3
4,20670,20656.3
5,20870,20852.2
6,21040,21048.1
7,21240,21244.1
8,21450,21440
9,21650,21635.9
10,21870,21831.9
11,22010,22027.8
12,22200,22223.7
1,22440,22419.6
2,22630,22615.6
3,22850,22811.5
4,22950,23007.4
5,23150,23203.4
6,23340,23399.3
7,23570,23595.2
8,23770,23791.1
9,23980,23987.1
10,24190,24183
11,24380,24378.9
12,24660,24574.9
1,25050,25006.3
2,25230,25202
3,25440,25397.7
4,25580,25593.4
5,25780,25789.2
6,25960,25984.9
7,26170,26180.6
8,26380,26376.3
9,26580,26572.1
10,26770,26767.8
11,26950,26963.5
12,27180,27159.2
1,27400,27355
2,27560,27550.7
3,27760,27746.4
4,27900,27942.1
5,28100,28137.9
6,28300,28333.6
7,28520,28529.3
8,28710,28725
9,28930,28920.8
10,29100,29116.5
11,29300,29312.2
12,29580,29507.9
1,29980,29941.5
2,30170,30137
3,30380,30332.5
4,30510,30528
5,30710,30723.6
6,30900,30919.1
7,31110,31114.6
8,31300,31310.1
9,31510,31505.7
10,31750,31701.2
11,31910,31896.7
12,32040,32092.2
1,32290,32287.7
2,32500,32483.3
3,32730,32678.8
4,32850,32874.3
5,33020,33069.8
6,33240,33265.4
7,33450,33460.9
8,33630,33656.4
9,33840,33851.9
10,34070,34047.4
11,34260,34243
12,34470,34438.5
1,34920,34865.7
2,35080,35061.3
3,35290,35256.9
4,35420,35452.5
5,35650,35648.1
6,35800,35843.7
7,36010,36039.3
8,36210,36234.9
9,36430,36430.5
10,36640,36626.1
11,36800,36821.7
12,37030,37017.3
1,37250,37212.9
2,37420,37408.5
3,37610,37604.1
4,37770,37799.8
5,37970,37995.4
6,38150,38191
7,38370,38386.6
8,38580,38582.2
9,38760,38777.8
10,38980,38973.4
11,39170,39169
12,39450,39364.6
1,39890,39805
2,40040,40000.6
3,40230,40196.2
4,40380,40391.8
5,40580,40587.4
6,40760,40783
7,40980,40978.6
8,41190,41174.2
9,41380,41369.8
10,41600,41565.4
11,41750,41761
12,41920,41956.6
1,42120,42152.2
2,42340,42347.8
3,42570,42543.4
4,42750,42739
5,42870,42934.6
6,43080,43130.2
7,43330,43325.8
8,43530,43521.4
9,43710,43717
10,43930,43912.6
11,44120,44108.2
12,44350,44303.8
1,44760,44730.3
2,44940,44925.6
3,45170,45120.9
4,45270,45316.2
5,45490,45511.4
6,45670,45706.7
7,45890,45902
8,46080,46097.3
9,46300,46292.6
10,46530,46487.9
11,46680,46683.2
12,46900,46878.4
1,47070,47073.7
2,47260,47269
3,47500,47464.3
4,47610,47659.6
5,47800,47854.9
6,48000,48050.2
7,48210,48245.4
8,48430,48440.7
9,48620,48636
10,48890,48831.3
11,49040,49026.6
12,49290,49221.9
1,49690,49660.2
2,49870,49855.8
3,50100,50051.5
4,50250,50247.1
5,50450,50442.8
6,50610,50638.4
7,50830,50834
8,51030,51029.7
9,51230,51225.3
10,51460,51420.9
11,51600,51616.6
12,51790,51812.2
1,52010,52007.9
2,52190,52203.5
3,52430,52399.1
4,52570,52594.8
5,52770,52790.4
6,52960,52986.1
7,53170,53181.7
8,53370,53377.3
9,53540,53573
10,53820,53768.6
11,53950,53964.2
12,54210,54159.9
1,54660,54590.9
2,54830,54786.7
3,55000,54982.5
4,55140,55178.2
5,55360,55374
6,55490,55569.8
7,55740,55765.6
8,55950,55961.3
9,56150,56157.1
10,56390,56352.9
11,56520,56548.6
12,56740,56744.4
1,56960,56940.2
2,57160,57135.9
3,57370,57331.7
4,57490,57527.5
5,57710,57723.3
6,57870,57919
7,58090,58114.8
8,58300,58310.6
9,58510,58506.3
10,58730,58702.1
11,58910,58897.9
