Bell No,Actual Time,SJF Model,Kalman Slow Model,RWP Model,Metronomic Model
1,0,0,0,183.774,0
2,180,226.522,226.522,394.279,208.698
3,370,453.043,453.043,604.784,417.395
4,720,679.565,679.565,815.289,626.093
5,890,906.087,906.087,1025.79,834.79
6,1120,1132.61,1132.61,1236.3,1043.49
7,1420,1359.13,1359.13,1446.8,1252.19
8,1670,1585.65,1585.65,1657.31,1460.88
9,1850,1812.17,1812.17,1867.82,1669.58
10,2220,2038.7,2038.7,2078.32,1878.28
11,2490,2265.22,2265.22,2288.83,2086.98
12,2660,2491.74,2491.74,2499.33,2295.67
1,2780,2718.26,2718.26,2709.84,2504.37
2,2960,2944.78,2944.78,2920.34,2713.07
3,3230,3171.3,3171.3,3130.85,2921.77
4,3370,3397.83,3397.83,3341.35,3130.46
5,3440,3624.35,3624.35,3551.86,3339.16
6,3710,3850.87,3850.87,3762.36,3547.86
7,3990,4077.39,4077.39,3972.87,3756.56
8,4150,4303.91,4303.91,4183.37,3965.25
9,4410,4530.43,4530.43,4393.88,4173.95
10,4690,4756.96,4756.96,4604.38,4382.65
11,4980,4983.48,4983.48,4814.89,4591.35
12,5210,5210,5210,5025.39,4800.04
1,5640,5605.79,5531.99,5578.36,5217.44
2,5840,5814.8,5753.86,5788.86,5426.14
3,6050,6023.81,5975.72,5999.37,5634.83
4,6220,6232.81,6197.59,6209.87,5843.53
5,6400,6441.82,6419.45,6420.38,6052.23
6,6580,6650.83,6641.31,6630.88,6260.93
7,6850,6859.84,6863.18,6841.39,6469.62
8,7050,7068.84,7085.04,7051.89,6678.32
9,7260,7277.85,7306.91,7262.4,6887.02
10,7520,7486.86,7528.77,7472.9,7095.72
11,7680,7695.87,7750.64,7683.41,7304.41
12,7910,7904.87,7972.5,7893.91,7513.11
1,8160,8113.88,8194.36,8104.42,7721.81
2,8310,8322.89,8416.23,8314.92,7930.51
3,8570,8531.9,8638.09,8525.43,8139.2
4,8720,8740.9,8859.96,8735.93,8347.9
5,8920,8949.91,9081.82,8946.44,8556.6
6,9120,9158.92,9303.69,9156.95,8765.3
7,9340,9367.93,9525.55,9367.45,8973.99
8,9510,9576.93,9747.41,9577.96,9182.69
9,9720,9785.94,9969.28,9788.46,9391.39
10,10040,9994.95,10191.1,9998.97,9600.09
11,10150,10204,10413,10209.5,9808.78
12,10420,10413,10634.9,10420,10017.5
1,10890,10875.1,10895.3,10873.1,10434.9
2,11110,11080.3,11110.7,11079,10643.6
3,11290,11285.6,11326,11284.9,10852.3
4,11550,11490.9,11541.4,11490.8,11061
5,11740,11696.2,11756.8,11696.7,11269.7
6,11940,11901.4,11972.2,11902.6,11478.4
7,12140,12106.7,12187.6,12108.5,11687.1
8,12310,12312,12402.9,12314.3,11895.8
9,12510,12517.3,12618.3,12520.2,12104.5
10,12720,12722.5,12833.7,12726.1,12313.2
11,12880,12927.8,13049.1,12932,12521.9
12,13090,13133.1,13264.4,13137.9,12730.5
1,13360,13338.4,13479.8,13343.8,12939.2
2,13540,13543.6,13695.2,13549.7,13147.9
3,13820,13748.9,13910.6,13755.6,13356.6
4,13960,13954.2,14126,13961.4,13565.3
5,14180,14159.5,14341.3,14167.3,13774
6,14390,14364.7,14556.7,14373.2,13982.7
7,14620,14570,14772.1,14579.1,14191.4
8,14720,14775.3,14987.5,14785,14400.1
9,14940,14980.6,15202.9,14990.9,14608.8
10,15120,15185.8,15418.2,15196.8,14817.5
11,15360,15391.1,15633.6,15402.6,15026.2
12,15600,15596.4,15849,15608.5,15234.9
1,16110,16055.7,16120.7,16056.8,15652.3
2,16300,16259.6,16330.2,16260.7,15861
3,16500,16463.5,16539.8,16464.6,16069.7
4,16640,16667.3,16749.3,16668.6,16278.4
5,16840,16871.2,16958.8,16872.5,16487.1
6,17020,17075.1,17168.3,17076.5,16695.8
7,17300,17279,17377.8,17280.4,16904.5
8,17490,17482.9,17587.3,17484.3,17113.2
9,17700,17686.8,17796.8,17688.3,17321.9
10,17930,17890.6,18006.3,17892.2,17530.6
11,18060,18094.5,18215.8,18096.2,17739.3
12,18280,18298.4,18425.3,18300.1,17948
1,18560,18502.3,18634.8,18504.1,18156.7
2,18720,18706.2,18844.3,18708,18365.4
3,18930,18910,19053.8,18911.9,18574.1
4,19090,19113.9,19263.3,19115.9,18782.8
5,19300,19317.8,19472.8,19319.8,18991.5
6,19490,19521.7,19682.3,19523.8,19200.2
7,19700,19725.6,19891.8,19727.7,19408.9
8,19890,19929.4,20101.3,19931.6,19617.6
9,20090,20133.3,20310.8,20135.6,19826.3
10,20360,20337.2,20520.3,20339.5,20035
11,20530,20541.1,20729.8,20543.5,20243.7
12,20820,20745,20939.3,20747.4,20452.4
1,21230,21204,21269.3,21199.1,20869.8
2,21420,21407.5,21474.9,21403.2,21078.5
