   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  213547698E0T                                                                                                                                                  3
  22   253  2314567890ET                                                                                                                                                  1
  23   265  3241658709ET                                                                                                                                                  E
  24   277  234618507E9T                                                                                                                                                  3
  25   289  2431658709ET                                                                                                                                                  1
  26   301  423618507E9T                                                                                                                                                  3
  27   313  4321658709ET                                                                                                                                                  1
  28   325  342618507E9T                                                                                                                                                  3
  29   337  4362810579ET                                                                                                                                                  9
  30   349  463820175E9T                                                                                                                                                  1
  31   361  6432810579ET                                                                                                                                                  3
  32   373  634820175E9T                                                                                                                                                  1
  33   385  3642810579ET                                                                                                                                                  3
  34   397  346820175E9T                                                                                                                                                  1
  35   409  43860271E59T                                                                                                                                                  E
  36   421  3480672E195T                                                                                                                                                  3
  37   433  38460271E59T                                                                                                                                                  1
  38   445  8340672E195T                                                                                                                                                  3
  39   457  84360271E59T                                                                                                                                                  1
  40   469  4830672E195T                                                                                                                                                  3
  41   481  840376E2915T                                                                                                                                                  E
  42   493  80473E69251T                                                                                                                                                  1
  43   505  084376E2915T                                                                                                                                                  3
  44   517  04873E69251T                                                                                                                                                  1
  45   529  408376E2915T                                                                                                                                                  3
  46   541  48073E69251T                                                                                                                                                  1
  47   553  8470E396521T                                                                                                                                                  E
  48   565  487E0935612T                                                                                                                                                  3
  49   577  4780E396521T                                                                                                                                                  1
  50   589  748E0935612T                                                                                                                                                  3
  51   601  7840E396521T                                                                                                                                                  1
  52   613  874E0935612T                                                                                                                                                  3
  53   625  78E49053162T                                                                                                                                                  E
  54   637  7E894501326T                                                                                                                                                  1
  55   649  E7849053162T                                                                                                                                                  3
  56   661  E8794501326T                                                                                                                                                  1
  57   673  8E749053162T                                                                                                                                                  3
  58   685  87E94501326T                                                                                                                                                  1
  59   697  789E5410236T                                                                                                                                                  E
  60   709  8795E142063T                                                                                                                                                  3
  61   721  897E5410236T                                                                                                                                                  1
  62   733  9875E142063T                                                                                                                                                  3
  63   745  978E5410236T                                                                                                                                                  1
  64   757  7985E142063T                                                                                                                                                  3
  65   769  97581E24603T                                                                                                                                                  E
  66   781  957182E6430T                                                                                                                                                  1
  67   793  59781E24603T                                                                                                                                                  3
  68   805  579182E6430T                                                                                                                                                  1
  69   817  75981E24603T                                                                                                                                                  3
  70   829  795182E6430T                                                                                                                                                  1
  71   841  9715286E403T                                                                                                                                                  9
  72   853  79125684E30T                                                                                                                                                  3
  73   865  7195286E403T                                                                                                                                                  1
  74   877  1792568E430T                                                                                                                                                  389
  75   889  1975286E403T                                                                                                                                                  89
  76   901  9172568E430T                                                                                                                                                  389
  77   913  19276548E03T                                                                                                                                                  ?
  78   925  129674E5830T                                                                                                                                                  ?
  79   937  21976584E03T                                                                                                                                                  ?
  80   949  29167458E30T                                                                                                                                                  ?
  81   961  92176584E03T                                                                                                                                                  ?
  82   973  9126745E830T                                                                                                                                                  ?
  83   985  196247E5380T                                                                                                                                                  E
  84   997  91642E73508T                                                                                                                                                  3
  85  1009  961247E3508T                                                                                                                                                  890E
  86  1021  69142E37508T                                                                                                                                                  ?
  87  1033  619247E5380T                                                                                                                                                  ?
  88  1045  16942E73508T                                                                                                                                                  3
  89  1057  6149E237058T                                                                                                                                                  E
  90  1069  641E9320785T                                                                                                                                                  1
  91  1081  4619E237058T                                                                                                                                                  3
  92  1093  416E9320785T                                                                                                                                                  1
  93  1105  1469E237058T                                                                                                                                                  3
  94  1117  164E9320785T                                                                                                                                                  1
  95  1129  61E43902758T                                                                                                                                                  9
  96  1141  16E34097285T                                                                                                                                                  3
  97  1153  1E643902758T                                                                                                                                                  1
  98  1165  E1634097285T                                                                                                                                                  3
  99  1177  E6143902758T                                                                                                                                                  1
 100  1189  6E134097285T                                                                                                                                                  3
 101  1201  E6310479825T                                                                                                                                                  E
 102  1213  E3601748952T                                                                                                                                                  1
 103  1225  3E610479825T                                                                                                                                                  3
 104  1237  36E01748952T                                                                                                                                                  1
 105  1249  63E10479825T                                                                                                                                                  3
 106  1261  6E301748952T                                                                                                                                                  1
 107  1273  E6037184592T                                                                                                                                                  E
 108  1285  6E073815429T                                                                                                                                                  3
 109  1297  60E37184592T                                                                                                                                                  1
 110  1309  06E73815429T                                                                                                                                                  3
 111  1321  0E637184592T                                                                                                                                                  1
 112  1333  E0673815429T                                                                                                                                                  3
 113  1345  0E768351429T                                                                                                                                                  90E
 114  1357  07E86534192T                                                                                                                                                  1
 115  1369  70E68351429T                                                                                                                                                  3
 116  1381  7E086534192T                                                                                                                                                  1
 117  1393  E7068351429T                                                                                                                                                  3
 118  1405  E0786534192T                                                                                                                                                  1
 119  1417  0E875643912T                                                                                                                                                  E
 120  1429  E0857469321T                                                                                                                                                  3
 121  1441  E8075643912T                                                                                                                                                  1
 122  1453  8E057469321T                                                                                                                                                  3
 123  1465  80E75643912T                                                                                                                                                  1
 124  1477  08E57469321T                                                                                                                                                  3
 125  1489  805E4796231T                                                                                                                                                  E
 126  1501  8504E972613T                                                                                                                                                  1
 127  1513  580E4796231T                                                                                                                                                  3
 128  1525  5084E972613T                                                                                                                                                  1
 129  1537  058E4796231T                                                                                                                                                  3
 130  1549  0854E972613T                                                                                                                                                  1
 131  1561  80459E27631T                                                                                                                                                  9
 132  1573  084952E6713T                                                                                                                                                  3
 133  1585  04859E27631T                                                                                                                                                  1
 134  1597  408952E6713T                                                                                                                                                  3
 135  1609  48059E27631T                                                                                                                                                  1
 136  1621  840952E6713T                                                                                                                                                  3
 137  1633  4890256E173T                                                                                                                                                  E
 138  1645  49820651E37T                                                                                                                                                  1
 139  1657  9480256E173T                                                                                                                                                  3
 140  1669  98420651E37T                                                                                                                                                  1
 141  1681  8940256E173T                                                                                                                                                  3
